Team_name,Team_GP,Team_PTS,Team_FGM,Team_FGA,Team_ThreePM,Team_ThreePA,Team_FTM,Team_FTA,Team_OR,Team_DR,Team_REB,Team_AST,Team_STL,Team_BLK,Team_TO,Team_PF,Team_FG_percent,Team_ThreeP_percent,Team_FT_percent,Year,Team_BPI,Team_DEF_I,Team_OFF_I,Team_CONF,Team_QUAL_WINS,Team_SOR_RK,Team_SOS_RK,Team_QUAL_LOSS,Team_Wins,Team_Losses
1440.0,35,88.3,31.1,69.7,8.9,27.5,17.1,24.1,14.4,27.1,41.5,14.0,7.3,6.2,10.6,18.9,44.6,32.5,71.3,2014,8.5,-1.9,-4.0,Unknown,1,50.0,331.0,10,19,14
1322.0,31,86.6,30.9,65.7,5.7,17.0,19.2,25.9,12.7,25.5,38.2,16.5,8.7,5.3,13.5,20.5,47.0,33.4,74.1,2014,8.5,-1.9,-4.0,Unknown,1,50.0,331.0,10,19,14
1140.0,35,83.7,28.9,62.5,5.1,14.2,20.9,30.1,13.2,27.7,40.9,15.5,7.2,2.9,11.3,19.7,46.3,35.5,69.2,2014,8.5,-1.9,-4.0,Unknown,1,50.0,331.0,10,19,14
1233.0,33,83.6,28.7,58.9,10.2,25.8,16.0,22.4,8.7,24.4,33.2,17.5,6.6,3.7,10.6,17.7,48.7,39.6,71.4,2014,8.5,-1.9,-4.0,Unknown,1,50.0,331.0,10,19,14
1235.0,36,83.0,29.5,62.2,8.4,23.3,15.7,22.6,10.4,28.1,38.5,18.4,5.9,2.9,10.6,17.3,47.4,35.8,69.3,2014,12.9,0.0,12.8,Big 12,9,11.0,7.0,5,28,8
1369.0,32,82.9,30.0,60.1,6.8,19.0,16.1,23.2,11.3,26.0,37.2,16.7,7.1,4.3,13.1,20.0,49.9,35.9,69.2,2014,8.5,-1.9,-4.0,Unknown,1,50.0,331.0,10,19,14
1230.0,27,82.1,28.6,58.6,7.5,19.3,17.4,25.5,11.1,28.5,39.6,15.8,6.6,4.3,13.9,17.8,48.8,38.9,68.4,2014,8.5,-1.9,-4.0,Unknown,1,50.0,331.0,10,19,14
1328.0,33,81.9,27.5,61.6,8.6,22.8,18.2,24.3,12.1,25.6,37.6,14.6,6.8,3.3,11.4,18.9,44.7,37.9,74.9,2014,9.5,-1.9,11.4,Big 12,5,31.0,31.0,7,22,11
1332.0,34,81.9,27.3,58.1,7.6,19.6,19.6,25.4,10.5,23.6,34.1,14.5,7.7,3.3,11.4,21.3,46.9,38.9,77.2,2014,11.4,-0.2,11.7,Pac-12,5,30.0,62.0,5,24,10
1234.0,33,81.5,27.8,60.1,5.8,16.5,20.0,27.2,13.5,26.8,40.4,16.1,7.1,5.0,11.2,18.2,46.3,35.0,73.5,2014,14.1,1.7,12.4,Big Ten,3,50.0,30.0,9,20,13
1149.0,31,81.4,27.7,60.5,9.7,25.5,16.2,22.2,11.8,25.6,37.5,13.7,6.5,2.8,10.8,18.2,45.8,38.3,73.0,2014,8.5,-1.9,-4.0,Unknown,1,50.0,331.0,10,19,14
1417.0,37,81.2,29.0,59.4,6.2,16.3,17.0,22.7,9.9,25.4,35.4,17.2,9.2,3.0,10.2,17.6,48.9,38.0,74.9,2014,13.8,1.8,12.0,Pac-12,5,19.0,58.0,5,28,9
1257.0,37,81.0,28.4,60.3,7.8,21.2,16.4,24.9,13.6,24.1,37.7,15.4,10.0,4.7,10.6,19.5,47.1,36.8,66.1,2014,20.1,9.4,10.7,American,7,16.0,95.0,6,31,6
1256.0,37,81.0,27.9,61.7,7.7,23.5,17.4,25.6,12.9,26.2,39.1,15.7,9.2,5.1,11.5,19.1,45.3,32.9,67.9,2014,10.7,3.1,7.6,Unknown,1,50.0,331.0,10,19,14
1418.0,34,81.0,28.1,60.4,6.9,18.9,17.8,26.4,13.6,24.3,37.9,13.4,7.2,4.2,13.5,21.1,46.6,36.5,67.4,2014,8.5,-1.9,-4.0,Unknown,1,50.0,331.0,10,19,14
1329.0,34,80.2,26.4,57.1,7.0,19.3,20.4,28.4,9.8,25.6,35.4,13.6,7.6,4.7,10.5,20.0,46.3,36.4,71.9,2014,14.1,3.8,10.3,Big 12,3,48.0,38.0,10,21,13
1116.0,34,80.1,27.3,61.9,7.4,20.5,18.1,24.9,11.9,24.1,35.9,15.3,8.4,5.6,11.5,20.7,44.1,36.2,72.6,2014,11.4,1.1,10.3,Unknown,1,50.0,331.0,10,19,14
1218.0,31,80.0,27.9,59.0,5.7,17.0,18.4,25.5,12.7,23.2,35.9,14.1,6.1,3.5,11.8,19.4,47.3,33.5,72.2,2014,8.5,-1.9,-4.0,Unknown,1,50.0,331.0,10,19,14
1303.0,32,79.9,27.7,61.5,6.8,20.3,17.8,23.3,10.6,23.9,34.4,15.4,8.3,2.7,12.6,18.6,45.0,33.7,76.5,2014,8.5,-1.9,-4.0,Unknown,1,50.0,331.0,10,19,14
1125.0,36,79.9,27.3,54.8,9.0,22.9,16.3,22.1,8.8,22.4,31.2,15.9,6.9,2.4,12.9,20.4,49.8,39.2,73.9,2014,8.5,-1.9,-4.0,Unknown,1,50.0,331.0,10,19,14
1174.0,35,79.5,26.7,60.2,7.2,20.8,18.8,26.4,11.0,25.1,36.1,10.8,5.9,3.5,9.5,18.9,44.4,34.7,71.1,2014,8.5,-1.9,-4.0,Unknown,1,50.0,331.0,10,19,14
1405.0,34,79.2,27.3,58.7,5.7,16.5,18.9,26.1,12.4,23.4,35.8,15.0,6.8,3.0,10.2,17.4,46.5,34.5,72.5,2014,8.5,-1.9,-4.0,Unknown,1,50.0,331.0,10,19,14
1242.0,35,79.0,27.3,55.3,5.4,15.9,19.0,26.7,11.9,26.3,38.2,14.9,5.8,5.6,13.2,20.9,49.3,34.0,71.1,2014,15.8,4.8,11.0,Big 12,11,14.0,2.0,5,25,10
1181.0,34,78.9,26.6,57.6,9.1,23.1,16.6,22.7,12.1,22.4,34.5,14.6,7.0,3.0,9.6,19.2,46.2,39.1,73.1,2014,18.8,5.2,13.6,ACC,9,17.0,22.0,6,26,9
