Team_name,Team_GP,Team_PTS,Team_FGM,Team_FGA,Team_ThreePM,Team_ThreePA,Team_FTM,Team_FTA,Team_OR,Team_DR,Team_REB,Team_AST,Team_STL,Team_BLK,Team_TO,Team_PF,Team_FG_percent,Team_ThreeP_percent,Team_FT_percent,Year,Team_BPI,Team_DEF_I,Team_OFF_I,Team_CONF,Team_QUAL_WINS,Team_SOR_RK,Team_SOS_RK,Team_QUAL_LOSS,Team_Wins,Team_Losses
1233.0,33,82.9,30.9,61.6,7.7,19.9,13.3,18.7,10.7,24.1,34.8,19.3,7.3,2.2,12.5,16.9,50.2,38.7,71.3,2012,9.6,-3.5,13.1,Unknown,0,50.0,288.0,12,20,15
1254.0,34,81.4,27.1,57.1,6.6,17.8,20.7,28.4,11.6,26.4,38.1,14.7,6.1,3.3,16.1,15.6,47.4,37.1,73.0,2012,7.9,-3.5,-3.1,Unknown,0,50.0,288.0,12,20,15
1314.0,37,81.3,29.9,64.9,5.1,15.1,16.4,24.3,15.4,29.8,45.2,17.5,6.8,5.9,12.1,14.5,46.0,33.8,67.7,2012,17.1,3.4,13.7,ACC,13,6.0,25.0,6,32,6
1125.0,35,80.9,27.9,57.9,8.8,23.3,16.3,22.2,11.5,24.5,36.0,17.3,7.3,2.2,12.3,17.9,48.1,37.8,73.5,2012,11.5,0.9,10.6,Unknown,0,50.0,288.0,12,20,15
1421.0,34,80.7,27.1,56.1,6.6,18.5,20.1,26.3,11.1,23.6,34.6,16.6,8.3,2.6,13.4,18.0,48.2,35.5,76.4,2012,7.9,-3.5,-3.1,Unknown,0,50.0,288.0,12,20,15
1281.0,35,80.4,28.0,55.6,8.4,21.1,16.0,20.9,9.1,22.9,32.0,16.2,8.1,2.8,10.2,14.3,50.4,39.8,76.6,2012,15.9,1.9,14.0,Big 12,10,8.0,53.0,3,30,5
1324.0,36,79.9,26.3,58.4,9.3,24.9,17.9,24.4,11.0,22.8,33.8,13.2,6.4,2.1,11.9,18.2,45.0,37.4,73.7,2012,7.9,-3.5,-3.1,Unknown,0,50.0,288.0,12,20,15
1440.0,33,79.7,27.0,60.8,8.6,26.9,17.1,23.8,10.2,22.5,32.7,13.3,8.3,3.8,13.3,18.7,44.5,31.9,71.9,2012,7.9,-3.5,-3.1,Unknown,0,50.0,288.0,12,20,15
1166.0,35,79.2,27.9,55.3,8.2,19.3,15.3,21.1,9.4,26.5,36.0,17.6,4.8,2.3,12.0,16.9,50.4,42.4,72.6,2012,10.0,-1.3,11.3,MVC,3,16.0,88.0,2,29,6
1333.0,36,78.9,27.6,58.1,6.1,17.1,17.5,25.9,11.7,23.1,34.8,15.8,9.1,4.6,14.1,18.7,47.5,35.9,67.7,2012,7.9,-3.5,-3.1,Unknown,0,50.0,288.0,12,20,15
1308.0,36,78.1,26.9,56.8,4.6,14.0,19.6,29.4,14.4,25.4,39.8,13.8,6.8,4.3,14.8,17.5,47.4,32.7,66.8,2012,7.9,-3.5,-3.1,Unknown,0,50.0,288.0,12,20,15
1168.0,31,78.0,26.9,56.9,8.6,21.3,15.6,22.5,12.4,25.1,37.5,15.0,5.6,2.7,15.4,19.5,47.2,40.4,69.4,2012,7.9,-3.5,-3.1,Unknown,0,50.0,288.0,12,20,15
1140.0,35,77.9,27.9,60.0,6.7,19.4,15.4,22.0,10.9,27.6,38.5,17.1,8.5,4.4,13.5,18.2,46.5,34.3,70.0,2012,8.9,1.0,7.9,WCC,2,44.0,117.0,7,26,9
