Team_name,Team_BPI,Team_DEF_I,Team_OFF_I
1199,13.5,7.1,6.3
1332,13.4,3.5,10.0
1268,13.4,6.3,7.1
1222,13.1,6.4,6.7
1437,13.0,5.3,7.7
1140,13.0,3.8,9.2
1276,12.8,6.4,6.4
1345,12.7,7.9,4.8
1403,12.4,7.8,4.5
1458,12.2,6.3,5.9
1371,12.1,6.0,6.2
1196,12.0,5.0,7.1
1246,12.0,5.3,6.7
1166,12.0,2.6,9.4
1139,11.8,5.6,6.1
1234,11.6,2.1,9.5
1336,11.5,6.4,5.1
1120,11.5,4.9,6.5
1266,11.3,3.9,7.4
1353,11.1,7.7,3.4
1278,11.1,5.5,5.6
1261,11.0,0.9,10.1
1228,10.7,5.1,5.6
1231,10.3,5.7,4.6
1438,10.2,11.6,-1.4
1429,10.2,5.1,5.1
1160,10.0,5.9,4.1
1455,9.9,7.8,2.1
1388,9.7,1.3,8.4
1350,9.7,4.0,5.7
1280,9.5,2.6,6.9
1301,9.4,3.9,5.5
1190,9.4,4.2,5.1
1344,9.3,5.8,3.5
1393,9.2,2.7,6.5
1116,8.9,4.9,4.0
1153,8.9,5.3,3.6
1328,8.9,4.9,4.0
1462,8.6,6.1,2.5
1438,23.2,11.0,12.2
1211,23.1,9.0,14.0
1181,21.3,10.4,10.9
1277,19.8,9.1,10.7
1314,18.9,8.2,10.7
1403,18.8,12.6,6.2
1246,18.3,8.8,9.4
1276,17.8,11.5,6.3
1345,17.4,5.6,11.8
1397,17.1,5.7,11.4
1439,16.5,6.7,9.9
1120,16.4,5.9,10.5
1222,15.9,8.1,7.7
1199,14.6,8.7,5.9
1235,14.5,5.5,9.0
1459,14.3,4.4,9.9
1458,14.3,9.4,5.0
1242,14.2,7.3,6.9
1257,13.4,6.6,6.8
1280,12.9,4.2,8.7
1305,12.9,5.7,7.1
1243,12.7,9.9,2.8
1261,12.7,4.2,8.5
1138,12.6,5.6,7.0
1437,12.5,4.0,8.5
1268,12.0,5.9,6.1
1153,11.8,6.7,5.2
1400,11.8,6.0,5.8
1301,11.7,4.6,7.0
1196,11.6,7.2,4.4
1332,11.6,7.8,3.7
1266,11.5,5.8,5.7
1155,10.9,7.9,3.0
1328,10.6,6.6,4.0
1393,10.5,6.7,3.8
1416,10.5,6.0,4.5
1234,10.5,1.6,8.9
1388,10.4,3.1,7.3
1124,10.3,3.6,6.7
1304,10.2,4.5,5.7
1433,10.0,9.9,0.1
1326,9.8,6.3,3.5
1395,9.5,5.3,4.2
1125,9.4,1.9,7.5
1231,9.0,5.9,3.1
1293,9.0,3.2,5.8
1252,8.9,4.1,4.9
1336,8.9,6.6,2.3
1429,8.9,4.4,4.5
1166,8.8,2.4,6.4
1437,22.8,7.3,15.5
1438,20.2,13.2,7.0
1181,19.8,7.5,12.4
1345,19.0,7.0,12.0
1153,18.5,12.2,6.3
1277,17.8,7.7,10.1
1242,16.5,5.2,11.2
1314,16.1,5.8,10.3
1452,15.8,6.4,9.4
1211,15.4,5.9,9.4
1403,15.1,9.3,5.8
1276,15.1,8.5,6.5
1462,14.7,4.2,10.5
1397,14.4,8.3,6.0
1455,14.2,3.8,10.4
1155,14.0,7.9,6.0
1326,13.8,6.6,7.3
1222,13.4,6.6,6.8
1246,12.9,5.9,7.0
1336,12.6,7.2,5.5
1139,12.4,5.4,7.0
1395,12.3,2.7,9.6
1120,12.2,5.1,7.1
1166,12.2,4.1,8.1
1196,12.1,5.6,6.5
1112,11.9,2.5,9.4
1371,11.7,4.0,7.7
1388,11.6,1.6,10.0
1199,11.5,5.3,6.2
1439,11.2,3.2,8.0
1305,11.2,1.7,9.4
1401,10.8,6.7,4.1
1172,10.7,1.7,8.9
1257,10.6,5.7,4.9
1274,10.6,5.7,4.9
1348,10.5,5.9,4.7
1323,10.4,3.6,6.9
1124,10.4,5.4,5.0
1268,10.2,4.5,5.7
1400,10.0,6.8,3.2
1116,10.0,2.4,7.6
,,,
1260,9.6,5.0,4.6
1328,9.4,2.7,6.8
1393,9.4,8.3,1.2
1113,9.2,2.0,7.3
1243,9.2,5.7,3.5
1301,9.2,2.2,7.0
1281,9.1,4.8,4.4
1266,9.0,-0.2,9.2
1211,20.4,9.5,10.8
1437,20.3,8.4,11.9
1314,19.4,8.2,11.3
1242,18.4,6.3,12.1
1196,18.1,9.6,8.5
1257,17.8,9.9,7.9
1181,17.7,5.9,11.8
1452,17.6,9.4,8.2
1246,17.5,7.9,9.6
1332,17.4,6.8,10.7
1438,17.2,11.4,5.8
1417,16.8,2.4,14.4
1388,16.6,5.7,10.9
1345,16.1,7.2,8.9
1455,15.7,8.5,7.2
1276,15.6,3.9,11.6
1374,15.5,5.2,10.3
1124,15.1,7.1,7.9
1458,15.0,8.3,6.7
1153,14.8,7.8,7.0
1235,14.7,5.1,9.6
1112,14.7,5.9,8.8
1323,13.9,4.1,9.8
1199,13.9,6.3,7.6
1139,13.3,4.7,8.6
1329,12.4,1.3,11.1
1166,12.0,3.9,8.1
1376,11.4,9.4,2.0
1266,10.8,1.0,9.8
1448,10.7,0.7,10.1
1274,10.7,6.2,4.5
1231,10.6,3.2,7.5
1462,10.4,3.6,6.8
1348,10.4,5.6,4.8
1393,10.4,2.8,7.6
1173,10.2,5.6,4.6
1243,10.2,5.1,5.1
1435,10.2,4.7,5.5
1155,10.0,3.5,6.6
1403,9.9,3.9,6.0
1278,9.8,7.3,2.5
1433,9.7,6.2,3.5
1277,9.7,5.1,4.6
1395,9.7,4.0,5.7
1116,9.6,3.1,6.5
,,,
1321,9.4,5.8,3.6
1222,9.2,2.7,6.5
1305,9.0,1.6,7.4
1436,9.0,4.3,4.7
1437,19.9,11.0,8.9
1314,18.7,4.8,13.8
1277,18.6,8.1,10.5
1438,18.6,15.2,3.4
1242,18.5,6.6,11.8
1257,17.1,12.6,4.5
1452,16.5,7.7,8.9
1246,16.2,6.4,9.8
1345,15.9,8.2,7.7
1231,15.8,4.3,11.5
1181,15.6,3.5,12.1
1374,15.0,8.2,6.8
1328,14.9,4.8,10.1
1112,14.8,5.2,9.6
1455,14.4,11.1,3.3
1462,14.1,4.0,10.1
1435,13.6,7.6,6.0
1163,13.5,9.1,4.4
1274,13.5,6.8,6.7
1268,13.3,7.0,6.3
1401,13.0,7.5,5.5
1332,13.0,4.7,8.3
1153,13.0,9.6,3.3
1234,12.9,5.5,7.4
1235,12.8,0.5,12.3
1211,12.5,6.1,6.4
1338,12.3,7.1,5.2
1139,12.1,3.5,8.6
1124,11.8,4.3,7.5
1143,11.8,6.7,5.1
1323,11.0,4.4,6.6
1393,11.0,9.5,1.5
1371,11.0,6.2,4.7
1434,10.7,9.7,1.0
1433,10.6,5.0,5.6
1463,10.5,8.1,2.4
