Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS
1455,29-8,MVC,44,124,2-2
1155,22-12,ACC,45,43,2-9
1433,28-12,CAA,46,68,7-6
1208,21-12,SEC,47,39,2-12
1439,22-12,ACC,48,46,5-7
1211,25-10,WCC,49,89,4-6
1321,20-14,Big Ten,50,23,2-9
1181,35-5,ACC,1,2,13-4
1242,33-3,Big 12,2,42,13-3
1246,35-3,SEC,3,57,12-2
1452,31-7,Big East,4,1,12-6
1393,30-5,Big East,5,34,10-5
1345,29-6,Big Ten,6,28,9-5
1139,33-5,Horizon,7,66,8-4
1243,29-8,Big 12,8,9,11-7
1124,28-8,Big 12,9,17,8-6
1326,29-8,Big Ten,10,38,8-6
1437,25-8,Big East,11,15,8-7
1277,28-9,Big Ten,12,20,7-7
1397,28-9,SEC,13,36,8-7
1396,29-6,A-10,14,75,6-4
1401,24-10,Big 12,15,5,7-10
1207,23-11,Big East,16,4,10-7
1320,30-5,MVC,17,104,4-1
1268,24-9,ACC,18,32,6-6
1458,24-9,Big Ten,19,31,6-5
1338,25-9,Big East,20,44,6-4
1462,26-9,A-10,21,49,6-8
1165,29-5,Ivy,22,124,2-3
1307,30-5,Mountain West,23,117,6-2
1140,30-6,Mountain West,24,103,3-6
1211,27-7,WCC,25,80,3-3
1435,24-9,SEC,26,50,7-4
1400,24-10,Big 12,27,45,5-8
1199,22-10,ACC,28,22,4-7
1266,22-12,Big East,29,10,5-9
1210,23-13,ACC,30,6,5-9
1388,28-6,WCC,31,115,3-2
1439,25-9,ACC,32,63,3-4
1448,20-11,ACC,33,7,6-6
1350,26-9,A-10,34,71,7-2
1155,21-11,ACC,35,23,5-7
1281,23-11,Big 12,36,46,5-8
1431,26-7,CUSA,37,98,1-3
1143,24-11,Pac-12,38,54,3-7
1329,22-11,Big 12,39,48,4-7
1330,27-9,CAA,40,84,1-6
1449,26-10,Pac-12,41,77,5-3
1361,25-9,Mountain West,42,82,4-5
1279,24-11,SEC,43,64,3-10
1323,23-12,Big East,44,53,6-6
1196,21-13,SEC,45,33,5-10
1173,25-12,A-10,46,65,4-7
1348,26-10,A-10,47,83,3-5
1373,27-7,MAAC,48,142,0-5
1293,31-5,MVC,49,254,1-2
1257,20-13,Big East,50,35,4-8
1314,34-4,ACC,1,12,15-4
1163,31-5,Big East,2,10,12-5
1338,31-5,Big East,3,18,11-4
1277,31-7,Big Ten,4,8,13-5
1181,30-7,ACC,5,5,14-6
1257,31-6,Big East,6,32,12-3
1437,30-8,Big East,7,9,10-8
1272,33-4,CUSA,8,68,8-4
1328,30-6,Big 12,9,41,12-5
1393,28-10,Big East,10,6,10-8
1281,31-7,Big 12,11,50,12-5
1448,24-7,ACC,12,31,10-3
1199,25-10,ACC,13,1,7-9
1211,28-6,WCC,14,71,7-3
1242,27-8,Big 12,15,44,11-5
1345,27-10,Big Ten,16,37,9-7
1462,27-8,A-10,17,55,5-4
1266,25-10,Big East,18,30,6-8
1452,23-12,Big East,19,4,6-10
1449,26-9,Pac-12,20,54,6-7
1417,26-9,Pac-12,21,57,7-6
1155,23-9,ACC,22,48,6-5
1113,25-10,Pac-12,23,46,7-7
1329,23-12,Big 12,24,13,5-11
1261,27-8,SEC,25,75,5-2
1326,22-11,Big Ten,26,22,6-8
1400,23-12,Big 12,27,16,8-9
1228,24-10,Big Ten,28,51,6-5
1336,27-11,Big Ten,29,56,7-7
1139,26-6,Horizon,30,107,3-2
1173,27-8,A-10,31,86,4-2
1401,24-10,Big 12,32,59,6-8
1268,21-14,ACC,33,2,5-12
1143,22-11,Pac-12,34,45,4-8
1425,22-13,Pac-12,35,24,7-9
1276,21-14,Big Ten,36,11,5-12
1397,21-13,SEC,37,17,4-9
1278,22-11,Big Ten,38,52,6-7
1124,24-15,Big 12,39,25,6-9
1130,22-12,ACC,40,42,5-8
1388,28-7,WCC,41,144,1-3
1373,27-8,MAAC,42,110,1-5
1274,19-13,ACC,43,15,6-9
1409,25-11,CUSA,44,70,3-7
1112,21-14,Pac-12,45,27,6-10
1429,30-5,WAC,46,275,0-3
1458,20-13,Big Ten,47,39,3-9
1196,25-11,SEC,48,77,3-6
1323,21-15,Big East,49,20,5-12
1396,22-12,A-10,50,58,2-5
1314,36-3,ACC,1,9,13-3
1242,37-3,Big 12,2,46,15-2
1272,38-2,CUSA,3,76,10-2
1417,35-4,Pac-12,4,28,16-3
1397,31-5,SEC,5,19,12-4
1181,28-6,ACC,6,11,11-5
1400,31-7,Big 12,7,25,11-6
1207,28-6,Big East,8,32,9-6
1458,31-5,Big Ten,9,64,7-5
1390,28-8,Pac-12,10,24,9-6
1338,27-10,Big East,11,12,8-7
1257,27-9,Big East,12,14,11-5
1450,26-9,Pac-12,13,21,7-8
1462,30-7,A-10,14,68,5-4
1277,27-9,Big Ten,15,33,7-7
1266,25-10,Big East,16,26,5-10
1323,25-8,Big East,17,52,7-7
1139,30-4,Horizon,18,141,2-2
1452,26-11,Big East,19,20,6-10
1155,24-10,ACC,20,23,7-8
1172,29-7,Southern,21,93,3-4
1163,24-9,Big East,22,44,8-6
1231,25-8,Big Ten,23,67,5-6
1179,28-5,MVC,24,121,1-1
1345,25-9,Big Ten,25,61,5-6
1435,26-8,SEC,26,81,4-5
1425,21-12,Pac-12,27,3,6-9
1401,25-11,Big 12,28,49,5-7
1274,23-11,ACC,29,34,9-5
1328,23-12,Big 12,30,29,6-9
1437,22-13,Big East,31,15,6-9
1424,27-8,Mountain West,32,105,1-4
1112,19-15,Pac-12,33,1,5-11
1245,28-7,MAC,34,143,1-3
1211,25-8,WCC,35,103,4-6
1116,23-12,SEC,36,54,9-5
1326,24-13,Big Ten,37,47,5-10
1269,25-11,A-10,38,79,3-5
1280,23-11,SEC,39,69,5-7
1279,24-11,SEC,40,74,7-4
1140,27-8,Mountain West,41,126,4-5
1243,21-12,Big 12,42,48,5-8
1113,21-13,Pac-12,43,40,6-9
1124,21-11,Big 12,44,66,4-9
1388,25-7,WCC,45,150,3-3
1173,23-11,A-10,46,80,3-4
1332,18-14,Pac-12,47,5,4-10
1443,29-7,Sun Belt,48,194,1-3
1393,21-14,Big East,49,41,5-9
1199,19-15,ACC,50,18,5-8
