Team_name,Team_GP,Team_PTS,Team_FGM,Team_FGA,Team_ThreePM,Team_ThreePA,Team_FTM,Team_FTA,Team_OR,Team_DR,Team_REB,Team_AST,Team_STL,Team_BLK,Team_TO,Team_PF,Team_FG_percent,Team_ThreeP_percent,Team_FT_percent
1104,37,90.1,30.7,64.5,11.2,29.9,17.6,22.8,12.8,26.9,39.6,15.9,6.9,4.4,11.8,19.9,47.6,37.3,77.2
1246,33,89.0,32.0,64.6,9.9,24.2,15.2,19.7,10.1,27.6,37.6,17.5,7.5,6.3,10.7,17.5,49.5,40.9,77.2
1112,36,87.1,31.2,64.5,7.9,21.6,16.8,23.4,13.1,29.5,42.6,18.5,8.3,3.7,11.9,16.4,48.4,36.6,71.7
1460,32,86.5,32.3,60.9,6.8,17.8,15.1,19.9,9.0,25.6,34.6,16.5,6.3,2.8,11.8,15.6,53.0,38.3,75.7
1359,35,86.1,30.1,61.5,10.0,25.4,15.8,21.9,10.6,25.2,35.8,17.7,9.9,3.7,13.0,19.1,49.0,39.5,72.3
1196,36,85.6,29.9,65.3,7.8,22.6,17.9,25.1,14.6,27.6,42.3,15.2,6.7,5.3,11.7,18.5,45.8,34.5,71.5
1232,39,84.8,29.3,57.9,10.9,28.7,15.4,19.3,7.2,28.3,35.5,17.9,6.1,1.8,11.6,16.4,50.5,38.2,79.6
1211,35,84.5,32.0,61.8,6.9,19.3,13.6,18.9,10.8,27.9,38.7,16.7,6.7,3.9,9.8,15.6,51.8,36.1,72.1
1219,36,83.9,27.8,60.1,8.3,24.4,20.1,25.8,13.1,26.6,39.7,11.9,5.1,3.3,11.1,18.1,46.2,34.1,77.8
1228,38,83.4,29.1,62.0,8.3,23.9,16.9,23.0,12.8,28.1,40.9,13.3,4.4,3.8,10.6,15.2,46.9,34.9,73.6
1241,36,83.2,29.8,62.6,8.5,23.7,15.1,21.4,11.4,27.1,38.5,16.0,9.0,3.1,10.9,17.3,47.6,36.0,70.3
1234,34,83.1,30.1,63.4,6.6,18.9,16.2,20.9,9.8,25.8,35.6,17.8,6.8,3.9,9.6,17.0,47.6,35.1,77.4
1120,35,83.1,28.9,60.6,8.0,22.7,17.4,23.2,11.2,26.6,37.8,17.8,7.4,6.1,10.7,19.4,47.6,35.2,75.0
1244,31,82.8,29.3,65.6,9.4,28.6,14.8,22.0,12.2,26.5,38.8,14.8,7.4,4.1,12.1,20.2,44.6,32.9,67.4
1345,39,82.3,28.4,58.3,8.2,20.2,17.3,24.1,12.2,28.2,40.4,18.5,5.4,3.6,11.3,13.7,48.8,40.4,72.0
1165,30,82.1,29.8,61.2,10.3,29.7,12.1,16.7,9.6,25.9,35.4,18.1,8.3,2.6,12.2,18.3,48.7,34.8,72.3
1252,32,82.1,30.0,60.8,9.3,24.4,12.8,16.7,7.6,25.6,33.3,14.5,6.1,3.4,10.0,12.9,49.3,38.0,76.7
1194,34,82.0,29.2,61.0,8.4,23.8,15.3,21.3,11.6,26.4,38.1,14.9,7.2,3.1,11.4,16.1,47.8,35.1,72.0
1314,37,81.9,28.3,62.8,8.1,22.7,17.3,22.8,12.2,28.9,41.1,14.5,5.8,4.1,10.1,16.5,45.0,35.9,75.9
1408,31,81.9,27.6,58.0,7.5,21.1,19.2,26.2,7.0,26.2,33.2,14.2,7.8,4.4,11.2,17.1,47.6,35.7,73.2
1404,32,81.5,28.4,63.9,8.7,24.3,16.1,20.8,10.2,31.1,41.2,13.0,6.2,2.8,11.4,14.2,44.4,35.8,77.1
1140,34,81.4,29.2,63.4,11.1,32.0,11.9,16.1,11.9,27.6,39.5,18.5,5.9,3.0,10.7,17.8,46.0,34.8,74.2
1163,40,81.4,29.4,59.2,8.5,23.8,14.1,18.9,11.7,27.1,38.8,18.7,6.2,5.4,9.6,16.3,49.7,35.8,74.3
1464,32,81.2,29.1,64.5,8.8,27.3,14.2,18.4,12.8,27.2,40.0,15.3,6.2,4.9,11.0,16.3,45.1,32.3,77.1
1176,34,81.0,27.8,61.9,8.6,24.9,16.7,22.9,10.1,25.2,35.3,13.1,6.2,3.9,10.0,16.9,45.0,34.8,73.0
1158,35,80.9,28.7,65.1,10.5,30.6,12.9,17.9,13.1,26.7,39.8,15.3,6.3,3.1,9.9,15.9,44.2,34.3,72.2
1186,32,80.8,27.9,55.7,8.5,23.4,16.4,21.3,8.1,25.8,33.8,17.6,6.0,3.6,13.2,18.2,50.1,36.4,77.1
1184,31,80.8,29.6,64.3,7.8,21.9,13.8,20.3,13.3,26.9,40.2,14.6,6.3,6.1,11.5,16.2,46.0,35.8,68.0
1307,35,80.7,29.5,65.2,6.5,19.9,15.2,21.3,13.0,26.7,39.7,14.4,8.7,5.0,10.0,17.7,45.2,32.7,71.3
1449,32,80.6,29.1,61.9,8.1,22.8,14.3,19.9,9.4,26.6,36.0,15.1,5.8,3.7,11.7,18.3,47.0,35.4,72.2
1272,32,80.5,28.0,61.0,8.3,23.7,16.1,22.2,12.0,25.1,37.0,13.7,8.6,4.5,13.1,17.2,46.0,35.0,72.5
1166,35,80.4,29.0,60.0,10.7,29.1,11.7,14.8,8.4,29.7,38.1,16.8,3.8,4.1,10.6,11.5,48.4,36.8,78.8
1124,35,80.4,27.6,57.2,8.6,22.1,16.5,22.6,11.4,23.7,35.1,14.7,6.7,3.1,12.0,16.5,48.3,38.9,73.2
1443,34,80.2,29.3,62.9,6.9,20.2,14.8,20.6,10.6,29.3,39.9,13.4,7.6,3.2,13.8,18.4,46.6,34.0,72.0
1236,36,80.2,29.0,62.0,9.4,26.2,12.8,18.2,8.4,24.1,32.5,13.6,9.2,3.1,10.4,17.0,46.8,36.1,70.3
1115,31,80.1,26.2,58.7,10.9,29.0,16.8,22.0,8.4,26.2,34.5,15.1,5.9,2.2,13.2,18.3,44.6,37.5,76.2
1150,33,80.1,28.1,63.5,8.9,26.2,14.9,21.0,11.2,25.7,36.9,13.2,7.0,2.8,11.4,17.4,44.3,34.0,71.0
1262,32,80.0,28.5,60.1,5.8,17.7,17.2,23.3,11.5,29.3,40.8,12.7,6.9,4.9,13.3,15.1,47.5,32.9,73.6
1405,32,80.0,28.8,60.2,6.5,17.2,16.0,21.3,10.0,23.9,33.9,13.4,7.3,2.0,10.7,15.6,47.8,37.6,75.4
1270,34,80.0,28.6,58.7,7.6,19.7,15.2,21.9,11.2,24.8,36.0,14.9,10.3,3.4,9.6,17.3,48.7,38.3,69.3
1179,35,79.9,28.3,59.4,8.6,23.4,14.7,19.5,8.0,26.3,34.3,16.0,6.5,1.6,9.5,16.3,47.7,36.6,75.3
1429,35,79.7,28.5,58.2,6.5,19.4,16.1,22.4,9.5,26.3,35.8,16.3,6.8,4.2,11.0,17.0,49.1,33.3,72.0
1407,32,79.6,26.8,60.9,8.6,24.6,17.3,23.5,13.3,25.1,38.4,13.7,10.3,3.3,13.8,19.1,44.1,35.1,73.3
1454,35,79.5,28.0,62.8,7.9,24.6,15.6,21.4,13.5,25.5,39.0,14.2,5.9,4.4,12.5,18.1,44.6,32.2,72.7
1202,33,79.5,27.6,62.2,9.7,29.9,14.6,20.0,11.2,26.5,37.8,16.2,7.1,2.9,11.8,16.0,44.4,32.4,72.8
