"Team_name","Team_PTS","Team_FGM","Team_FGA","Team_ThreePM","Team_ThreePA","Team_FTM","Team_FTA","Team_OR","Team_DR","Team_REB","Team_AST","Team_STL","Team_BLK","Team_TO","Team_PF","Team_FG_percent","Team_ThreeP_percent","Team_FT_percent"
"Austin Peay Governors","76.3","27.0","58.9","6.8","19.5","15.5","21.7","11.8","24.2","36.0","13.2","6.6","3.0","12.8","18.3","45.9","34.6","71.6"
"Kent State Golden Flashes","76.3","27.7","61.0","8.4","24.7","12.6","17.3","10.8","25.3","36.2","13.9","6.8","4.1","12.7","18.7","45.4","33.9","72.7"
"Yale Bulldogs","76.3","27.0","57.5","8.8","23.8","13.5","19.0","9.1","29.8","38.9","15.5","6.3","3.4","13.0","15.0","46.9","37.1","71.2"
"Pepperdine Waves","76.3","26.3","60.4","8.0","22.7","15.8","20.0","9.7","24.8","34.5","14.8","6.2","3.8","12.7","18.2","43.4","35.1","79.2"
"East Tennessee State Buccaneers","76.3","27.0","56.9","7.6","22.1","14.6","21.0","10.9","24.6","35.5","13.9","8.2","3.6","12.1","17.6","47.5","34.6","69.4"
"Colgate Raiders","76.1","27.4","61.1","10.1","28.1","11.2","15.0","10.0","26.6","36.6","14.4","6.1","2.9","10.9","15.1","44.8","35.7","74.9"
"Cal State Northridge Matadors","76.1","27.4","60.2","7.6","20.4","13.7","18.8","9.1","24.3","33.4","14.0","5.7","3.2","11.3","17.3","45.6","37.3","72.6"
"Akron Zips","76.0","25.5","57.8","9.1","25.6","16.0","20.7","9.9","28.4","38.3","13.1","5.2","3.0","12.9","17.8","44.0","35.7","77.0"
"Gonzaga Bulldogs","87.6","31.8","60.5","7.8","21.4","16.3","21.4","9.9","29.1","39.0","18.1","7.5","5.5","10.6","16.3","52.6","36.3","76.1"
"Belmont Bruins","86.9","31.6","63.5","10.4","27.9","13.4","18.1","8.8","29.8","38.6","19.5","6.7","3.8","11.4","15.4","49.8","37.2","73.7"
"North Carolina Tar Heels","85.8","31.1","66.9","8.7","23.9","15.0","20.2","13.3","30.5","43.8","18.8","7.0","3.3","13.1","17.0","46.4","36.2","74.3"
"The Citadel Bulldogs","85.1","30.0","67.0","12.3","35.9","12.8","17.4","10.7","26.1","36.8","15.4","6.7","3.7","12.9","17.6","44.7","34.4","73.6"
"South Dakota State Jackrabbits","84.5","29.8","59.5","9.9","24.3","15.0","19.2","7.6","30.5","38.2","14.8","6.1","2.0","11.8","16.9","50.1","40.8","77.8"
"Buffalo Bulls","84.4","30.1","65.2","9.6","28.4","14.6","21.3","12.7","28.2","40.9","16.6","7.3","3.9","11.9","18.3","46.2","33.6","68.7"
"Hofstra Pride","83.4","28.5","58.7","8.8","22.9","17.6","21.9","8.7","24.6","33.4","14.1","6.5","3.5","9.8","15.0","48.6","38.5","80.2"
"Winthrop Eagles","83.3","28.5","62.6","12.4","33.2","13.9","18.8","11.0","30.0","41.0","15.3","4.5","2.8","15.2","17.8","45.5","37.3","73.8"
"Lipscomb Bisons","83.1","28.9","60.3","8.8","23.7","16.4","21.6","9.0","28.2","37.2","17.7","7.2","2.9","13.2","17.1","48.0","37.3","75.8"
"Central Michigan Chippewas","82.7","28.3","62.2","8.7","23.5","17.4","25.9","12.1","25.7","37.7","13.3","7.6","3.1","12.1","16.9","45.5","37.1","67.1"
"Duke Blue Devils","82.7","30.4","63.6","7.3","23.8","14.5","21.1","13.1","28.2","41.2","15.9","9.1","6.8","12.8","15.7","47.8","30.8","68.6"
"Purdue Fort Wayne Mastodons","82.7","30.0","62.4","10.9","28.8","11.7","16.9","8.5","26.1","34.6","15.9","7.5","4.8","12.0","15.0","48.1","37.9","69.3"
"Eastern Kentucky Colonels","82.6","29.1","68.5","8.8","26.8","15.7","22.0","11.9","25.7","37.6","14.8","10.2","3.3","14.4","21.3","42.4","32.7","71.2"
"Murray State Racers","82.6","29.9","60.8","7.8","22.2","14.9","20.4","10.8","27.1","37.9","17.9","7.5","4.5","12.1","16.0","49.2","35.3","73.1"
"Georgia Southern Eagles","82.6","30.7","61.5","6.2","19.2","15.1","21.8","9.7","26.5","36.2","12.2","7.7","4.0","13.7","17.9","49.9","32.3","69.2"
"Tennessee Volunteers","82.5","30.1","60.6","7.1","19.4","15.3","20.3","10.6","27.2","37.7","18.1","6.1","5.4","11.0","17.7","49.7","36.3","75.4"
"Florida International Panthers","82.3","29.0","65.9","8.2","27.1","16.1","25.1","10.9","24.9","35.8","14.4","10.6","4.6","14.0","19.3","44.0","30.2","64.0"
"Wofford Terriers","82.3","29.8","60.9","11.0","26.5","11.6","16.5","10.4","24.6","35.0","15.1","6.7","3.0","10.8","16.8","49.0","41.4","70.4"
"Austin Peay Governors","82.2","29.5","62.4","8.1","21.3","15.1","21.4","12.1","24.9","37.1","13.8","7.6","3.3","11.9","18.1","47.2","38.2","70.6"
"Houston Christian Huskies","82.2","28.8","63.2","6.7","19.6","17.8","26.4","13.8","24.3","38.1","15.0","7.8","1.8","14.7","19.8","45.6","34.0","67.5"
"Texas Southern Tigers","81.6","28.5","62.6","7.3","22.4","17.4","26.0","12.5","27.1","39.6","15.6","8.1","3.0","15.5","17.9","45.5","32.4","66.8"
"Louisiana Ragin' Cajuns","81.6","28.2","63.2","8.8","25.6","16.5","22.2","11.4","24.3","35.7","15.3","7.0","3.9","13.2","19.1","44.5","34.5","74.2"
"Hampton Pirates","81.3","27.6","63.9","8.3","24.1","17.8","22.6","10.7","28.5","39.1","13.9","6.1","3.5","10.8","18.5","43.2","34.5","78.7"
"Green Bay Phoenix","81.3","29.1","63.5","8.0","23.1","15.1","21.5","10.2","26.8","37.0","15.2","7.7","4.1","13.2","19.2","45.8","34.5","70.3"
"Marshall Thundering Herd","80.5","28.3","64.0","9.8","28.6","14.1","19.5","8.9","25.2","34.1","14.2","9.0","4.6","12.2","17.9","44.2","34.2","72.2"
"LSU Tigers","80.4","28.2","61.8","6.7","21.1","17.2","22.9","13.4","25.3","38.7","12.9","8.8","4.2","12.9","18.1","45.7","31.9","75.2"
"Yale Bulldogs","80.3","29.7","60.7","7.8","21.5","13.2","18.2","8.9","30.0","38.9","17.0","6.0","4.3","13.2","17.0","48.9","36.1","72.7"
"Nevada Wolf Pack","80.1","27.2","58.8","8.7","25.1","17.0","24.0","9.6","27.9","37.4","14.6","6.2","3.9","10.4","17.2","46.2","34.7","70.8"
"NC State Wolfpack","80.1","29.5","64.4","8.1","23.1","13.0","18.4","13.6","25.0","38.5","15.0","7.1","3.8","12.5","19.2","45.8","35.2","70.8"
"Memphis Tigers","80.1","28.1","62.2","7.2","22.4","16.6","23.2","12.2","25.5","37.7","15.4","8.0","4.0","15.0","20.5","45.3","32.2","71.4"
"Lehigh Mountain Hawks","80.0","27.6","57.3","9.3","21.9","15.5","20.0","7.5","28.2","35.6","15.2","5.5","2.3","13.5","18.4","48.2","42.3","77.4"
"Sacred Heart Pioneers","79.9","27.7","60.2","7.6","21.3","17.0","22.6","11.3","27.2","38.5","14.7","5.3","4.2","14.5","17.9","46.0","35.7","75.5"
"Appalachian State Mountaineers","79.9","27.5","60.6","9.1","25.4","15.8","22.1","9.7","25.5","35.2","12.7","5.3","2.8","13.1","18.3","45.4","35.9","71.5"
"East Tennessee State Buccaneers","79.6","29.5","60.8","8.1","22.3","12.5","18.6","13.1","26.6","39.7","15.7","7.4","4.0","14.2","17.7","48.6","36.1","67.0"
"Auburn Tigers","79.6","27.5","60.9","11.3","29.8","13.4","18.9","11.6","22.5","34.1","14.3","9.1","4.7","11.8","18.4","45.1","37.7","70.8"
"Georgetown Hoyas","79.5","27.1","61.1","8.2","22.9","17.2","23.4","10.7","28.6","39.3","16.4","6.0","4.0","13.4","17.6","44.3","35.5","73.7"
"Weber State Wildcats","79.3","27.9","58.6","7.5","20.7","16.0","21.5","6.8","28.8","35.6","11.6","5.4","4.2","11.7","18.5","47.6","36.4","74.6"
"UL Monroe Warhawks","79.2","26.3","58.0","10.1","25.5","16.5","21.1","9.1","24.5","33.6","14.2","5.9","2.2","11.4","15.6","45.4","39.6","78.2"
"BYU Cougars","79.0","27.4","58.7","7.1","21.4","17.0","23.4","8.3","26.7","34.9","15.1","6.3","3.3","11.1","19.5","46.8","33.0","72.7"
"Howard Bison","78.9","27.6","63.6","7.2","19.7","16.6","22.9","11.8","25.1","36.9","13.6","5.8","4.2","12.6","19.2","43.3","36.5","72.6"
"Omaha Mavericks","78.8","29.7","62.4","8.8","22.5","10.7","14.8","8.5","24.2","32.7","12.8","5.6","1.9","9.5","15.2","47.5","39.2","72.1"
"Lamar Cardinals","78.7","27.3","59.9","6.9","20.1","17.1","24.9","13.6","25.2","38.8","14.6","8.6","2.9","14.3","18.8","45.6","34.3","68.7"
"Utah State Aggies","78.7","27.4","58.3","7.8","22.1","16.0","21.3","10.9","29.1","40.1","17.1","6.1","4.2","12.8","18.5","47.0","35.5","74.8"
"Northern Kentucky Norse","78.5","28.0","58.5","8.7","24.1","13.8","20.7","10.7","26.4","37.1","16.9","6.2","4.0","12.6","19.0","47.8","36.2","66.6"
"Bowling Green Falcons","78.5","27.8","62.8","8.0","22.4","14.9","22.2","12.1","29.0","41.1","12.6","6.7","2.6","12.1","17.5","44.3","35.7","67.0"
"DePaul Blue Demons","78.4","28.0","59.5","6.7","19.5","15.6","21.5","11.3","26.1","37.4","14.3","6.3","3.3","13.5","17.5","47.1","34.3","72.7"
"Iowa Hawkeyes","78.3","26.1","57.3","8.1","22.3","17.9","24.3","10.3","25.3","35.6","15.5","6.0","3.2","12.1","16.1","45.6","36.4","73.9"
"Samford Bulldogs","78.3","27.9","59.1","7.7","20.8","14.8","20.2","9.8","27.4","37.1","14.0","7.2","3.8","14.0","17.0","47.2","37.0","73.1"
"Montana State Bobcats","78.2","26.8","58.8","9.6","25.6","15.0","20.3","9.2","24.6","33.8","15.3","5.3","1.4","12.3","17.7","45.6","37.4","73.7"
"UCLA Bruins","78.2","27.8","61.0","7.8","21.8","14.7","23.3","11.5","29.6","41.1","14.3","5.9","4.1","14.1","17.1","45.7","35.5","63.3"
"Villanova Wildcats","86.6","30.5","61.0","11.6","29.0","14.0","18.0","9.6","26.3","35.9","16.4","6.5","4.1","10.6","16.1","50.0","40.1","77.9"
"Savannah State Tigers","86.1","29.4","73.4","12.2","40.8","15.1","21.7","13.2","25.0","38.2","15.8","9.4","2.8","14.0","19.0","40.0","30.0","69.6"
"Portland State Vikings","85.2","30.4","68.6","8.8","26.0","15.6","22.1","14.5","23.9","38.4","16.1","9.8","3.5","12.7","21.9","44.3","34.0","70.4"
"William & Mary Tribe","85.0","29.4","57.5","10.9","25.1","15.5","19.1","6.7","26.1","32.8","17.7","5.6","4.0","12.3","17.1","51.1","43.4","81.0"
"Oklahoma Sooners","84.9","29.8","64.4","9.4","26.1","15.9","21.4","10.6","28.2","38.8","15.0","6.5","4.7","13.4","17.2","46.3","35.9","74.6"
"Buffalo Bulls","84.6","30.7","64.9","9.8","26.3","13.5","19.3","11.9","26.6","38.6","16.6","6.3","4.1","12.4","21.0","47.3","37.0","69.9"
"South Dakota State Jackrabbits","84.5","28.7","61.3","10.7","26.5","16.5","21.7","8.9","30.1","39.0","13.3","4.9","2.3","10.1","16.1","46.7","40.3","76.2"
"Xavier Musketeers","84.4","28.9","58.7","7.8","21.0","18.8","24.1","9.8","28.5","38.3","16.5","5.9","3.1","12.6","17.2","49.2","37.2","77.9"
"Duke Blue Devils","84.4","30.4","61.8","8.4","22.5","15.2","21.4","13.4","27.7","41.1","17.5","7.4","5.0","12.4","15.5","49.2","37.2","71.0"
"Marshall Thundering Herd","83.8","28.9","62.0","10.1","28.1","15.9","20.8","8.1","27.6","35.7","17.1","7.0","5.8","13.2","17.1","46.7","35.8","76.4"
"Gonzaga Bulldogs","83.5","30.4","61.1","8.9","24.1","13.9","19.6","11.2","28.7","39.9","15.2","6.3","3.6","11.4","17.1","49.8","36.8","70.8"
"Creighton Bluejays","83.5","30.5","62.1","10.4","28.0","12.0","16.1","7.5","29.0","36.5","17.8","5.7","2.7","11.2","15.2","49.2","37.2","74.8"
"UNLV Rebels","83.4","29.6","60.6","5.6","16.8","18.5","26.3","12.0","28.5","40.5","16.2","5.6","4.4","14.3","17.6","48.9","33.4","70.5"
"Niagara Purple Eagles","83.3","28.6","64.4","8.2","23.0","17.8","24.5","12.0","27.0","39.0","12.0","5.2","4.4","11.3","17.5","44.4","35.9","72.8"
"Louisiana Ragin' Cajuns","83.2","28.6","61.5","8.7","24.1","17.4","22.8","12.8","26.2","39.0","17.4","7.5","4.3","13.4","19.1","46.4","36.3","76.1"
"Wichita State Shockers","82.8","29.0","60.9","9.1","23.8","15.7","21.2","12.3","28.3","40.6","18.5","4.7","3.8","11.7","17.6","47.6","38.1","73.9"
"Arizona State Sun Devils","82.7","27.8","60.0","9.0","24.8","18.2","24.8","9.8","25.3","35.2","14.3","6.5","3.6","10.7","18.9","46.3","36.3","73.3"
"Nevada Wolf Pack","82.6","28.4","60.5","9.6","24.4","16.3","21.9","9.2","26.3","35.6","16.2","6.2","4.1","9.6","17.0","46.9","39.2","74.3"
"Nicholls Colonels","82.5","29.4","62.3","8.1","22.8","15.6","21.8","11.0","26.1","37.2","14.8","9.6","3.9","15.3","22.3","47.2","35.7","71.7"
"The Citadel Bulldogs","82.5","27.8","67.1","12.1","35.4","14.8","21.0","11.8","25.3","37.0","16.5","9.4","3.1","14.9","18.3","41.4","34.1","70.6"
"Purdue Fort Wayne Mastodons","82.3","28.9","62.8","10.3","28.0","14.3","19.8","9.6","25.5","35.0","14.7","8.0","3.3","11.8","16.3","46.0","36.6","72.0"
"New Mexico Lobos","82.2","27.6","60.7","10.8","28.8","16.2","20.8","9.3","22.2","31.6","15.9","7.4","2.8","12.4","20.5","45.5","37.5","77.7"
"Lipscomb Bisons","82.1","28.0","61.8","8.1","24.6","18.0","25.0","10.5","28.2","38.7","15.7","6.5","3.1","14.9","19.9","45.3","32.8","71.8"
"TCU Horned Frogs","82.1","29.7","59.8","8.3","21.0","14.4","20.4","11.2","25.2","36.4","18.6","6.5","3.6","12.7","16.8","49.6","39.5","70.6"
"Bethune-Cookman Wildcats","81.9","28.2","63.7","7.5","23.7","18.0","25.6","13.3","28.8","42.1","15.7","6.3","3.8","15.8","20.9","44.3","31.8","70.1"
"Rider Broncs","81.9","29.1","62.6","7.6","21.2","16.0","26.4","13.2","26.0","39.2","14.3","7.5","3.4","13.3","19.9","46.5","35.8","60.8"
"Auburn Tigers","81.9","26.6","61.8","9.5","26.7","19.0","24.6","12.0","25.9","37.9","14.1","7.4","5.3","12.1","19.8","43.1","35.7","77.4"
"North Carolina Tar Heels","81.6","29.9","65.3","8.2","22.9","13.6","18.3","13.8","28.6","42.4","18.2","5.8","4.1","12.0","15.9","45.7","35.9","74.3"
"Kansas Jayhawks","81.4","29.9","60.7","10.0","25.0","11.6","16.4","9.8","25.8","35.6","16.6","6.5","4.1","11.7","15.3","49.2","40.1","70.8"
"Florida Gulf Coast Eagles","81.3","29.9","60.5","7.3","20.0","14.4","19.4","10.5","27.7","38.2","15.3","7.3","2.8","14.1","18.7","49.4","36.3","74.0"
"Marquette Golden Eagles","81.3","28.3","59.5","11.0","26.4","13.8","17.1","9.0","22.9","31.9","15.7","6.1","3.7","12.3","19.4","47.5","41.7","80.5"
"NC State Wolfpack","81.3","29.2","62.2","8.0","21.4","14.8","21.3","12.2","23.5","35.6","16.1","7.4","3.7","12.1","18.5","47.0","37.2","69.6"
"UCLA Bruins","81.2","28.1","61.0","9.4","24.6","15.6","21.7","10.2","28.6","38.8","15.0","5.6","4.0","12.1","17.9","46.0","38.1","72.0"
"Northern Colorado Bears","81.1","29.1","61.8","8.8","24.5","14.2","20.6","9.4","28.1","37.5","11.9","5.3","3.7","12.3","19.0","47.0","35.9","68.9"
"Bucknell Bison","81.1","27.6","58.6","8.0","23.0","17.9","24.9","9.3","27.3","36.6","14.4","5.5","4.3","12.5","18.7","47.1","34.8","71.9"
"South Dakota Coyotes","80.9","29.1","61.0","6.9","19.5","15.9","21.1","10.3","27.4","37.7","13.2","6.8","2.0","11.1","16.9","47.6","35.5","75.0"
"North Florida Ospreys","80.8","28.5","62.4","10.8","28.6","13.1","17.3","9.5","25.7","35.1","14.8","5.2","3.8","14.5","15.3","45.6","37.8","76.0"
"Arkansas Razorbacks","80.5","28.7","60.5","7.7","19.4","15.4","22.7","10.0","24.5","34.5","14.3","6.2","4.7","10.9","20.0","47.4","39.6","68.1"
"Central Arkansas Bears","80.5","28.0","61.8","8.2","23.0","16.4","22.3","10.3","26.0","36.3","16.1","6.7","5.1","13.7","19.7","45.3","35.6","73.5"
"Stephen F. Austin Lumberjacks","80.5","28.6","58.8","6.9","18.6","16.5","23.4","11.5","24.2","35.7","14.2","10.3","3.1","15.5","21.9","48.6","37.2","70.5"
"Arizona Wildcats","80.5","28.8","57.2","6.8","18.3","16.1","21.2","10.1","26.4","36.5","15.2","4.9","4.5","12.2","17.2","50.4","36.9","76.0"
"Purdue Boilermakers","80.4","27.9","56.7","9.5","22.7","15.0","20.2","8.6","26.4","35.0","16.2","5.7","4.9","10.8","15.7","49.3","42.0","74.3"
"Michigan State Spartans","80.2","28.3","57.0","8.3","20.7","15.3","20.5","11.6","29.5","41.1","19.1","4.1","7.2","13.1","18.3","49.6","40.0","74.7"
"Florida State Seminoles","80.2","28.4","60.7","7.8","22.3","15.5","22.5","11.4","26.4","37.8","14.9","6.9","5.3","13.0","18.6","46.8","35.0","69.1"
"West Virginia Mountaineers","80.1","28.0","64.2","8.7","24.6","15.4","20.1","14.1","23.8","37.8","15.2","8.1","5.2","11.4","21.6","43.6","35.3","76.6"
"Virginia Tech Hokies","79.8","28.2","56.5","8.8","22.6","14.6","20.6","7.5","25.2","32.7","16.4","5.8","2.2","12.0","15.8","49.9","38.8","70.9"
"Wyoming Cowboys","79.8","26.5","59.4","9.2","26.7","17.7","23.9","7.0","27.8","34.8","15.7","6.5","3.9","13.6","19.8","44.6","34.5","73.8"
"Iowa Hawkeyes","79.7","28.7","59.8","7.6","20.4","14.7","21.2","11.8","26.3","38.1","18.2","5.2","4.1","13.4","16.6","47.9","37.5","69.5"
"Hofstra Pride","79.5","28.0","60.3","8.4","22.4","15.1","22.1","11.0","24.6","35.6","13.3","5.0","2.7","10.8","18.6","46.5","37.5","68.2"
"Winthrop Eagles","79.5","27.7","58.2","9.5","25.5","14.5","20.1","9.1","27.2","36.3","14.7","6.8","4.6","13.8","17.4","47.6","37.4","72.2"
"The Citadel Bulldogs","89.8","29.7","71.5","12.0","35.3","18.4","24.3","13.6","23.8","37.4","17.0","9.3","2.6","14.3","22.3","41.5","34.0","75.7"
"UCLA Bruins","89.8","33.6","64.4","9.8","24.2","12.8","17.3","9.5","28.9","38.5","21.4","5.9","5.3","11.2","16.2","52.2","40.6","73.8"
"Central Michigan Chippewas","88.3","28.5","67.3","12.5","34.8","18.8","23.8","11.4","27.5","38.9","11.3","5.7","2.9","11.3","19.1","42.4","35.8","79.1"
"Purdue Fort Wayne Mastodons","86.9","32.0","64.5","10.7","26.5","12.3","17.0","10.1","27.5","37.6","17.5","7.7","3.9","13.6","17.9","49.6","40.2","72.5"
"Oklahoma State Cowboys","85.7","29.0","62.1","8.9","22.2","18.8","23.8","13.8","23.1","36.8","14.7","7.6","3.0","13.1","22.1","46.7","40.2","78.9"
"Savannah State Tigers","85.7","28.7","70.0","13.5","40.8","14.7","22.7","12.3","28.0","40.3","17.3","7.8","3.2","14.9","19.7","41.0","33.2","64.8"
"Marshall Thundering Herd","85.6","29.2","63.9","10.2","27.5","17.1","23.3","9.3","27.7","37.0","16.5","6.0","4.0","12.4","18.4","45.6","37.0","73.4"
"Portland State Vikings","85.3","30.9","64.2","7.7","22.5","15.8","24.0","10.4","23.9","34.3","15.8","9.9","2.6","12.1","19.0","48.2","34.1","65.8"
"Lipscomb Bisons","85.0","28.5","59.9","10.3","28.1","17.8","24.6","10.3","26.5","36.8","18.2","6.6","3.2","15.2","21.3","47.5","36.6","72.3"
"Kentucky Wildcats","84.9","29.8","63.1","7.0","19.9","18.2","25.8","12.4","27.4","39.8","15.4","6.0","5.3","11.7","18.8","47.3","35.3","70.3"
"UNC Wilmington Seahawks","84.8","30.6","63.7","9.6","26.2","14.0","20.2","12.1","24.0","36.0","16.1","6.7","3.4","10.4","20.0","48.0","36.6","69.1"
"North Carolina Tar Heels","84.4","30.7","65.8","7.1","20.0","16.1","22.9","15.8","28.0","43.7","18.1","7.1","3.5","11.8","17.8","46.6","35.5","70.1"
"Omaha Mavericks","83.9","28.0","61.6","9.3","23.9","18.7","25.0","10.6","25.3","35.9","13.8","8.2","3.3","13.9","19.3","45.4","38.8","74.8"
"Kansas Jayhawks","83.2","29.8","60.9","8.8","21.9","14.9","21.9","11.9","26.8","38.7","16.2","6.9","4.5","12.7","17.8","48.8","40.4","67.8"
"Wake Forest Demon Deacons","82.8","28.0","59.2","8.1","21.1","18.8","24.1","10.6","25.7","36.3","15.5","5.5","3.7","11.8","20.2","47.2","38.5","77.8"
"Gonzaga Bulldogs","82.6","29.5","58.5","7.3","19.2","16.4","22.8","9.7","31.0","40.7","15.3","6.8","4.7","11.5","16.9","50.4","38.2","71.7"
"Marquette Golden Eagles","82.2","28.7","59.0","10.5","24.5","14.3","18.3","8.8","24.3","33.1","16.4","7.2","3.6","12.4","19.4","48.7","42.9","78.1"
"Florida State Seminoles","82.1","29.6","61.3","6.7","19.2","16.2","23.5","11.7","26.1","37.8","14.6","7.4","5.1","11.9","19.5","48.3","34.7","68.9"
"Louisiana Ragin' Cajuns","81.9","28.6","61.3","7.0","20.4","17.7","25.4","13.4","24.6","38.0","14.3","7.1","2.8","13.3","18.8","46.7","34.3","69.5"
"Creighton Bluejays","81.8","30.8","61.0","8.7","21.9","11.5","16.9","8.3","26.7","34.9","17.1","6.1","2.9","12.4","16.7","50.5","39.6","68.2"
"William & Mary Tribe","81.7","28.6","58.3","9.1","23.9","15.4","22.2","8.7","27.5","36.2","17.5","5.4","4.9","12.5","18.3","49.1","38.2","69.2"
"Rice Owls","81.5","27.0","58.5","9.3","24.0","18.1","24.5","10.1","28.0","38.1","13.8","6.3","3.7","15.0","19.1","46.2","38.8","74.0"
"West Virginia Mountaineers","81.5","28.6","63.1","7.4","20.5","16.8","24.5","14.4","23.0","37.4","16.4","10.0","4.8","12.3","20.4","45.4","36.2","68.5"
"Monmouth Hawks","81.2","27.3","62.6","8.9","23.9","17.6","23.3","11.2","27.4","38.5","12.7","6.9","4.6","12.5","20.5","43.7","37.3","75.7"
"UMBC Retrievers","81.1","28.1","60.0","9.7","24.7","15.1","20.3","9.0","26.3","35.3","14.9","6.6","2.4","12.1","18.4","46.9","39.3","74.5"
"Wichita State Shockers","81.0","27.6","58.8","8.6","21.4","17.3","23.6","12.0","28.9","40.9","16.3","6.5","3.9","11.3","18.8","46.9","40.3","73.3"
"Duke Blue Devils","80.8","27.5","58.0","8.4","22.2","17.4","22.8","10.5","25.7","36.2","13.1","6.1","4.6","11.4","18.2","47.5","37.9","76.2"
"Iowa State Cyclones","80.8","29.5","62.5","9.8","24.6","12.1","17.3","9.1","25.7","34.8","15.8","7.8","3.5","10.1","15.9","47.2","40.0","70.0"
"BYU Cougars","80.6","27.6","60.5","6.8","19.6","18.7","25.6","10.7","31.1","41.7","15.7","6.6","4.6","13.8","19.3","45.6","34.4","73.3"
"North Dakota Fighting Hawks","80.6","28.9","60.0","7.1","18.3","15.6","21.8","9.3","26.5","35.8","15.2","7.8","2.9","13.1","20.9","48.3","39.0","71.3"
"Iowa Hawkeyes","80.5","28.4","62.4","8.8","23.3","15.0","21.8","12.0","26.4","38.4","17.7","7.4","3.8","13.9","17.9","45.4","37.9","68.8"
"Auburn Tigers","80.4","26.9","61.5","9.0","24.7","17.6","26.1","11.5","25.1","36.6","13.2","7.4","5.1","13.6","20.9","43.7","36.6","67.2"
"Iona Gaels","80.4","28.0","61.6","9.8","24.6","14.7","19.1","9.7","26.1","35.7","15.5","6.8","3.1","12.0","19.1","45.4","39.7","76.8"
"Green Bay Phoenix","80.2","28.5","64.4","6.2","19.1","16.9","24.6","12.1","28.9","41.0","14.0","7.8","4.2","14.0","19.8","44.3","32.2","68.9"
"Montana State Bobcats","80.0","26.8","61.5","10.0","26.7","16.5","22.6","10.5","25.9","36.4","13.2","5.7","2.4","12.3","22.9","43.5","37.5","73.0"
"Murray State Racers","80.0","27.2","61.8","8.8","24.3","16.7","22.8","12.1","25.6","37.7","13.9","6.0","2.3","12.2","20.0","44.1","36.0","73.5"
"Nevada Wolf Pack","79.8","26.7","59.5","9.1","23.9","17.3","24.5","11.0","27.6","38.6","16.0","5.4","4.3","11.0","16.6","44.8","38.2","70.5"
"Indiana Hoosiers","79.7","28.2","58.9","8.7","22.8","14.6","20.1","12.1","26.9","39.0","14.4","6.1","4.6","15.2","20.1","47.9","38.0","72.9"
"Purdue Boilermakers","79.7","28.0","58.4","9.0","22.3","14.7","19.4","9.8","27.9","37.7","18.3","5.2","2.5","13.0","15.8","47.9","40.3","75.7"
"East Tennessee State Buccaneers","79.5","27.4","56.2","7.6","19.8","17.1","24.3","10.2","26.1","36.3","14.7","8.4","4.6","14.8","19.9","48.8","38.2","70.2"
"Florida Gulf Coast Eagles","79.4","29.6","59.4","6.5","18.7","13.7","19.5","11.1","26.2","37.3","15.5","6.1","3.4","12.4","18.7","49.9","34.7","70.2"
"Oakland Golden Grizzlies","79.4","27.5","60.5","7.3","21.7","17.1","22.5","10.4","28.6","38.9","17.0","7.8","5.1","13.6","17.4","45.5","33.5","76.1"
"Arkansas Razorbacks","79.3","27.7","60.2","6.5","17.7","17.4","22.9","11.1","24.9","36.0","13.9","7.7","4.8","11.9","20.5","46.0","36.5","76.1"
"Eastern Washington Eagles","79.3","27.9","58.1","8.3","21.8","15.3","19.9","9.1","26.1","35.2","12.4","4.6","4.8","12.2","20.0","47.9","37.9","77.0"
"Winthrop Eagles","79.2","27.0","59.3","9.5","25.4","15.8","22.0","9.6","27.5","37.1","12.8","6.5","5.1","13.0","18.3","45.5","37.3","71.7"
"Virginia Tech Hokies","79.1","26.9","54.9","8.8","21.8","16.5","22.5","7.3","25.0","32.3","15.1","4.0","2.8","12.1","16.5","48.9","40.3","73.7"
"Morehead State Eagles","79.0","29.3","63.5","7.3","18.9","13.2","18.1","13.2","24.4","37.6","16.1","6.7","3.2","13.5","21.1","46.1","38.6","72.6"
"Oregon Ducks","78.9","28.0","58.2","8.6","22.6","14.4","20.2","10.6","26.1","36.6","15.7","6.5","6.4","11.6","15.8","48.1","38.0","71.2"
"Weber State Wildcats","78.8","26.4","54.2","8.9","21.8","17.1","23.2","6.9","25.2","32.1","12.8","4.9","3.5","11.9","17.5","48.7","40.9","73.7"
"New Mexico State Aggies","78.8","26.9","57.6","7.4","22.0","17.6","24.8","12.8","26.6","39.4","14.9","4.9","3.8","13.7","18.4","46.7","33.7","71.2"
"Oakland Golden Grizzlies","86.4","28.6","62.5","9.0","22.7","20.1","26.1","11.4","27.9","39.3","15.6","6.1","3.3","11.4","19.1","45.8","39.8","77.0"
"The Citadel Bulldogs","86.0","29.3","70.3","11.3","35.1","16.1","22.0","12.6","23.5","36.1","15.6","8.9","3.3","13.8","24.1","41.7","32.3","72.9"
"Marshall Thundering Herd","86.0","30.8","66.2","10.1","29.8","14.3","20.6","10.3","26.9","37.3","16.8","6.8","3.1","12.8","19.3","46.6","33.7","69.3"
"Omaha Mavericks","85.3","29.8","63.2","6.3","18.7","19.4","26.0","10.6","24.8","35.4","14.4","9.3","2.9","12.9","20.5","47.1","33.7","74.5"
