"Team_name","Team_PTS","Team_FGM","Team_FGA","Team_ThreePM","Team_ThreePA","Team_FTM","Team_FTA","Team_OR","Team_DR","Team_REB","Team_AST","Team_STL","Team_BLK","Team_TO","Team_PF","Team_FG_percent","Team_ThreeP_percent","Team_FT_percent"
"Wake Forest Demon Deacons","78.5","27.9","57.9","8.5","24.6","14.2","19.5","8.7","28.1","36.8","15.1","6.5","3.9","13.9","16.0","48.3","34.4","73.0"
"Nicholls Colonels","78.5","30.8","65.8","8.2","24.9","8.6","13.8","11.8","26.5","38.3","13.6","8.3","3.9","12.3","18.3","46.9","32.7","62.5"
"Belmont Bruins","78.3","29.0","59.4","8.5","25.8","11.7","15.8","7.8","25.6","33.5","18.0","9.1","3.9","11.8","13.7","48.8","33.2","74.3"
"Auburn Tigers","78.2","27.7","63.7","8.1","25.4","14.7","20.1","12.8","27.6","40.4","14.7","8.4","8.0","12.1","18.5","43.5","31.8","73.1"
"Kansas Jayhawks","78.2","28.6","59.8","7.2","19.8","13.9","19.4","11.0","26.9","37.9","15.3","6.3","4.3","12.1","16.0","47.8","36.1","71.7"
"Charleston Cougars","78.2","28.0","63.7","8.1","23.9","14.1","19.3","13.8","26.6","40.3","13.2","8.0","2.8","15.6","20.6","43.9","33.9","73.0"
"McNeese Cowboys","78.2","28.3","62.8","6.5","20.6","15.2","23.0","13.9","26.6","40.5","12.7","7.8","3.5","16.2","20.1","45.1","31.3","65.9"
"Bryant Bulldogs","78.0","27.5","62.9","8.3","27.1","14.8","20.3","12.6","28.7","41.3","13.9","6.5","4.5","13.9","17.0","43.7","30.4","73.2"
"Northern Colorado Bears","77.9","27.6","58.1","10.2","26.8","12.5","17.6","7.7","26.6","34.3","12.3","4.0","2.9","12.4","17.2","47.5","38.1","70.9"
"Hofstra Pride","77.9","29.0","62.6","9.5","28.0","10.4","13.1","8.2","25.0","33.2","15.5","8.0","2.7","10.3","14.9","46.3","34.0","79.7"
"Western Illinois Leathernecks","77.9","27.8","64.0","8.7","26.2","13.7","19.3","11.3","26.5","37.9","11.4","6.2","2.5","11.4","17.4","43.4","33.1","70.8"
"North Carolina Tar Heels","77.9","27.6","61.8","8.4","23.5","14.3","18.7","11.5","29.8","41.2","14.9","5.2","3.9","11.7","14.5","44.7","35.8","76.4"
"Southern Utah Thunderbirds","77.7","27.5","59.7","8.3","24.3","14.4","20.2","10.1","27.5","37.6","12.1","6.1","2.5","12.7","17.1","46.1","34.3","71.4"
"Florida Gulf Coast Eagles","77.7","27.8","61.2","10.2","29.2","11.9","17.7","11.2","27.6","38.8","15.7","6.7","4.8","13.5","14.8","45.4","35.0","67.6"
"Furman Paladins","77.6","27.8","59.9","11.8","31.0","10.3","13.6","9.3","23.8","33.1","17.4","8.3","3.5","10.5","14.6","46.4","38.0","75.7"
"Syracuse Orange","77.4","27.7","61.5","9.1","24.1","12.8","17.4","10.6","25.7","36.3","14.6","7.0","3.8","10.7","14.2","45.1","37.7","73.7"
"San Francisco Dons","77.4","27.8","60.7","9.6","27.5","12.2","17.6","10.8","27.1","37.9","13.0","7.7","4.6","12.8","18.1","45.7","35.0","69.4"
