Team_name,Team_GP,Team_PTS,Team_FGM,Team_FGA,Team_ThreePM,Team_ThreePA,Team_FTM,Team_FTA,Team_OR,Team_DR,Team_REB,Team_AST,Team_STL,Team_BLK,Team_TO,Team_PF,Team_FG_percent,Team_ThreeP_percent,Team_FT_percent,Year
1440.0,32.0,93.8,31.5,71.2,13.7,38.3,17.1,23.2,12.3,21.1,33.4,18.2,14.2,3.3,14.0,18.7,44.3,35.8,73.6,2009
1314.0,38.0,89.8,31.7,66.0,6.9,17.9,19.4,25.9,14.6,27.4,42.0,18.0,8.6,5.2,12.4,16.0,48.0,38.7,75.2,2009
1152.0,32.0,84.2,29.9,64.9,7.9,22.8,16.5,24.2,14.4,23.7,38.1,15.8,10.0,3.8,15.2,20.9,46.0,34.7,68.3,2009
1402.0,30.0,81.5,28.8,64.0,7.8,21.2,16.0,24.1,14.5,24.5,39.0,15.5,7.8,2.7,16.6,26.0,45.1,36.9,66.4,2009
1281.0,38.0,81.5,29.6,62.7,6.9,19.7,15.4,22.9,12.8,23.9,36.7,18.4,10.2,3.7,11.8,19.9,47.2,35.2,67.2,2009
1448.0,31.0,81.0,29.2,59.6,4.1,12.7,18.5,25.9,12.6,28.1,40.7,13.1,8.3,5.7,15.9,18.8,49.0,32.0,71.1,2009
1329.0,35.0,80.9,27.1,58.8,9.3,24.3,17.3,23.2,9.9,25.1,34.9,12.7,7.6,2.3,12.3,21.3,46.0,38.4,74.8,2009
1393.0,38.0,80.2,29.2,59.9,6.7,19.6,15.0,23.3,12.7,26.9,39.6,18.1,7.8,5.1,15.3,15.3,48.7,34.5,64.5,2009
1348.0,34.0,79.3,29.2,60.9,6.3,16.1,14.5,20.8,13.0,23.4,36.3,16.0,7.6,3.5,13.4,17.5,48.0,39.2,69.7,2009
1211.0,34.0,78.9,28.4,58.3,7.4,18.9,14.7,20.5,10.1,27.4,37.5,15.1,7.2,5.1,11.4,16.2,48.8,39.0,71.7,2009
1182.0,34.0,78.9,27.5,58.4,8.7,24.3,15.2,21.9,11.0,22.4,33.4,16.6,7.6,3.4,13.7,17.4,47.1,35.9,69.6,2009
1404.0,32.0,78.8,28.1,62.4,7.8,23.3,14.8,20.1,13.5,23.3,36.8,14.6,8.3,2.8,12.8,18.7,45.1,33.4,73.7,2009
1328.0,36.0,78.7,27.3,55.5,6.7,19.1,17.4,25.8,12.1,26.9,38.9,14.5,6.9,4.3,13.9,17.1,49.2,35.1,67.5,2009
1449.0,35.0,78.6,27.9,61.0,4.2,12.4,18.6,26.5,15.2,25.9,41.1,13.1,7.4,2.7,14.7,19.5,45.7,33.7,70.0,2009
