Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS,Year
1314.0,33-7,ACC,1.0,5.0,16-6,2017
1242.0,31-5,Big 12,2.0,11.0,16-5,2017
1211.0,37-2,WCC,3.0,82.0,10-1,2017
1437.0,32-4,Big East,4.0,34.0,10-4,2017
1246.0,32-6,SEC,5.0,31.0,10-5,2017
1181.0,28-9,ACC,6.0,8.0,15-7,2017
1112.0,32-5,Pac-12,7.0,67.0,5-5,2017
1124.0,27-8,Big 12,8.0,10.0,13-8,2017
1332.0,33-6,Pac-12,9.0,61.0,5-4,2017
1417.0,31-5,Pac-12,10.0,70.0,5-4,2017
1196.0,27-9,SEC,11.0,9.0,7-9,2017
1452.0,28-9,Big 12,12.0,25.0,12-7,2017
1257.0,25-9,ACC,13.0,7.0,10-9,2017
1323.0,26-10,ACC,14.0,14.0,9-9,2017
1235.0,24-11,Big 12,15.0,2.0,14-9,2017
1345.0,27-8,Big Ten,16.0,40.0,10-6,2017
1458.0,27-10,Big Ten,17.0,24.0,10-8,2017
1199.0,26-9,ACC,18.0,29.0,11-6,2017
1139.0,25-9,Big East,19.0,18.0,13-4,2017
1153.0,30-6,American,20.0,75.0,6-5,2017
1374.0,30-5,American,21.0,80.0,5-2,2017
1438.0,23-11,ACC,22.0,6.0,6-9,2017
1276.0,26-12,Big Ten,23.0,19.0,12-7,2017
1376.0,26-11,SEC,24.0,39.0,8-6,2017
1388.0,29-5,WCC,25.0,104.0,3-4,2017
1166.0,25-10,Big East,26.0,45.0,5-7,2017
1116.0,26-10,SEC,27.0,54.0,4-8,2017
1455.0,31-5,MVC,28.0,116.0,1-4,2017
1329.0,20-13,Big 12,29.0,4.0,8-11,2017
1439.0,22-11,ACC,30.0,26.0,8-9,2017
1462.0,24-14,Big East,31.0,13.0,6-11,2017
1278.0,24-10,Big Ten,32.0,47.0,7-7,2017
1274.0,21-12,ACC,33.0,23.0,5-11,2017
1268.0,24-9,Big Ten,34.0,58.0,7-5,2017
1321.0,24-12,Big Ten,35.0,43.0,6-9,2017
1425.0,26-10,Pac-12,36.0,69.0,3-7,2017
1371.0,21-12,Big East,37.0,27.0,6-9,2017
1243.0,21-14,Big 12,38.0,15.0,7-11,2017
1395.0,24-15,Big 12,40.0,35.0,4-13,2017
1423.0,29-6,CAA,41.0,142.0,0-3,2017
1348.0,25-10,A-10,42.0,73.0,4-5,2017
1448.0,19-14,ACC,43.0,17.0,2-13,2017
1277.0,20-15,Big Ten,44.0,16.0,7-10,2017
1173.0,24-8,A-10,45.0,84.0,4-4,2017
1433.0,26-9,A-10,46.0,83.0,2-5,2017
1266.0,19-13,Big East,47.0,36.0,6-6,2017
1344.0,20-13,Big East,48.0,44.0,7-7,2017
1436.0,29-6,Am. East,49.0,203.0,0-4,2017
1229.0,28-7,MVC,50.0,145.0,1-3,2017
