Team_name,Team_BPI,Team_DEF_I,Team_OFF_I,Year
1314.0,21.5,1.2,20.3,2009
1163.0,18.6,6.4,12.3,2009
1272.0,18.5,10.3,8.1,2009
1181.0,18.4,7.0,11.3,2009
1338.0,18.1,7.0,11.0,2009
1257.0,17.4,9.6,7.8,2009
1452.0,16.6,10.0,6.5,2009
1437.0,15.9,5.3,10.5,2009
1281.0,15.8,2.9,12.9,2009
1211.0,15.4,2.6,12.8,2009
1242.0,14.9,6.1,8.8,2009
1328.0,14.5,3.7,10.8,2009
1277.0,14.0,6.1,7.8,2009
1155.0,13.8,3.1,10.7,2009
1393.0,13.8,0.4,13.4,2009
1417.0,13.7,3.3,10.4,2009
1345.0,13.5,8.0,5.6,2009
1462.0,13.5,7.3,6.1,2009
1113.0,13.0,8.9,4.1,2009
1448.0,12.9,1.2,11.7,2009
1397.0,12.6,1.5,11.1,2009
1228.0,12.0,11.3,0.7,2009
1207.0,11.9,7.6,4.3,2009
1266.0,11.8,1.3,10.6,2009
1449.0,11.8,-0.1,11.8,2009
1274.0,11.5,4.8,6.7,2009
1400.0,11.5,5.7,5.8,2009
1329.0,11.1,-1.2,12.3,2009
1196.0,11.0,2.8,8.2,2009
1139.0,10.9,8.6,2.3,2009
1458.0,10.6,9.9,0.6,2009
1172.0,10.3,2.8,7.5,2009
1140.0,10.1,2.2,8.0,2009
1261.0,10.1,3.9,6.2,2009
1199.0,9.9,7.4,2.5,2009
1246.0,9.9,5.6,4.3,2009
1425.0,9.8,7.5,2.3,2009
1412.0,9.7,4.0,5.7,2009
1396.0,9.7,7.0,2.7,2009
1326.0,9.7,6.8,2.9,2009
1323.0,9.7,0.2,9.4,2009
1124.0,9.5,0.4,9.1,2009
1143.0,9.3,0.4,8.9,2009
1268.0,9.3,3.5,5.7,2009
1243.0,9.1,2.8,6.3,2009
1388.0,8.9,3.4,5.5,2009
1433.0,8.8,3.8,5.0,2009
1130.0,8.4,0.7,7.7,2009
1222.0,8.3,0.6,7.7,2009
