Team_name,Team_BPI,Team_DEF_I,Team_OFF_I,Year
1326.0,20.3,9.5,10.8,2012
1246.0,20.1,8.2,11.9,2012
1393.0,18.3,8.4,9.9,2012
1277.0,17.6,9.9,7.7,2012
1314.0,17.1,3.4,13.7,2012
1458.0,16.2,15.9,0.3,2012
1242.0,16.1,7.8,8.2,2012
1281.0,15.9,1.9,14.0,2012
1196.0,15.3,3.5,11.8,2012
1231.0,15.2,3.2,12.1,2012
1181.0,14.8,2.6,12.2,2012
1272.0,14.6,5.1,9.5,2012
1455.0,14.1,5.3,8.9,2012
1266.0,13.7,3.2,10.5,2012
1207.0,13.5,9.7,3.8,2012
1307.0,13.5,7.1,6.4,2012
1124.0,12.7,3.8,8.9,2012
1435.0,12.6,4.4,8.2,2012
1257.0,12.2,8.9,3.4,2012
1387.0,12.0,10.4,1.6,2012
1199.0,11.9,7.4,4.5,2012
1345.0,11.6,4.1,7.5,2012
1125.0,11.5,0.9,10.6,2012
1104.0,11.2,11.5,-0.3,2012
1211.0,11.2,4.4,6.8,2012
1243.0,11.0,5.2,5.8,2012
1438.0,11.0,14.0,-3.1,2012
1388.0,10.9,4.5,6.4,2012
1276.0,10.7,8.1,2.6,2012
1400.0,10.3,4.0,6.3,2012
1143.0,10.1,5.3,4.8,2012
1424.0,10.1,1.2,8.9,2012
1166.0,10.0,-1.3,11.3,2012
1153.0,10.0,6.8,3.2,2012
1452.0,9.9,2.6,7.3,2012
1396.0,9.8,1.5,8.3,2012
1235.0,9.7,2.6,7.2,2012
1233.0,9.6,-3.5,13.1,2012
1163.0,9.5,5.2,4.3,2012
1140.0,8.9,1.0,7.9,2012
1301.0,8.8,1.5,7.3,2012
1253.0,8.8,3.4,5.4,2012
1338.0,8.3,3.6,4.7,2012
1274.0,8.2,3.2,5.0,2012
1433.0,8.2,5.5,2.7,2012
1180.0,8.1,9.4,-1.3,2012
1217.0,8.1,8.7,-0.6,2012
1172.0,8.1,-0.2,8.2,2012
1462.0,8.0,2.8,5.2,2012
1278.0,7.9,3.9,4.1,2012
