Team_name,Team_GP,Team_PTS,Team_FGM,Team_FGA,Team_ThreePM,Team_ThreePA,Team_FTM,Team_FTA,Team_OR,Team_DR,Team_REB,Team_AST,Team_STL,Team_BLK,Team_TO,Team_PF,Team_FG_percent,Team_ThreeP_percent,Team_FT_percent,Year
1440.0,31.0,87.9,30.2,67.2,11.3,31.5,16.3,23.0,12.3,25.3,37.5,14.9,8.7,4.5,13.3,19.6,44.9,35.9,70.9,2011
1324.0,35.0,85.5,30.1,61.1,8.2,21.9,17.2,23.9,12.9,26.1,39.0,16.2,6.2,5.6,13.5,18.4,49.2,37.4,72.0,2011
1449.0,35.0,83.1,30.3,64.6,8.7,23.5,13.7,20.3,13.9,25.1,39.1,16.9,6.7,5.1,12.2,20.2,46.9,37.1,67.4,2011
1254.0,33.0,82.7,28.1,60.9,6.9,19.2,19.5,30.3,14.5,27.2,41.8,15.2,7.5,3.4,15.3,17.6,46.2,36.1,64.6,2011
1249.0,30.0,82.1,28.2,65.4,7.8,21.7,17.9,26.1,15.5,25.6,41.2,14.6,8.2,3.7,15.3,23.0,43.1,36.0,68.7,2011
1140.0,37.0,81.4,27.5,61.3,8.4,23.4,17.9,23.4,11.4,27.2,38.5,14.5,8.1,4.1,10.9,17.5,44.9,36.1,76.5,2011
1242.0,38.0,81.2,29.3,57.7,7.1,18.7,15.4,22.7,11.8,27.0,38.8,17.7,7.8,4.0,13.3,17.5,50.8,38.2,67.9,2011
1181.0,37.0,80.9,28.1,59.6,7.9,21.0,16.8,22.3,12.1,25.8,37.8,14.3,7.3,4.4,12.1,17.7,47.1,37.4,75.3,2011
1281.0,34.0,80.8,28.9,63.1,7.2,19.7,15.8,21.4,12.5,22.7,35.2,16.4,9.7,5.0,12.7,20.2,45.8,36.6,73.9,2011
1377.0,33.0,79.8,28.5,62.5,7.6,21.9,15.2,22.8,11.3,27.1,38.4,14.8,6.7,2.8,12.6,17.5,45.5,34.9,66.8,2011
1125.0,35.0,79.7,27.0,58.4,9.3,24.7,16.4,22.3,12.9,23.1,35.9,16.3,9.7,3.4,13.7,20.8,46.2,37.8,73.7,2011
1160.0,38.0,79.6,27.8,58.9,6.1,16.3,17.9,23.0,11.8,24.2,36.0,13.8,6.8,2.9,11.7,18.3,47.3,37.2,77.8,2011
1233.0,37.0,79.0,28.3,59.5,8.1,21.5,14.3,21.7,11.8,24.5,36.2,17.4,7.5,3.3,12.6,17.9,47.6,37.5,65.7,2011
1388.0,34.0,78.9,27.8,57.4,8.6,21.9,14.7,19.4,10.6,24.1,34.7,16.5,7.1,3.3,11.2,17.6,48.5,39.0,75.9,2011
1402.0,32.0,78.3,27.1,60.3,5.8,18.1,18.4,27.4,12.5,24.8,37.3,13.8,7.7,3.3,15.3,21.8,44.9,32.0,67.2,2011
1182.0,32.0,77.9,27.3,59.5,8.0,22.3,15.4,24.8,12.7,22.6,35.3,17.8,9.9,5.3,13.4,19.3,45.8,36.0,62.2,2011
1314.0,37.0,77.5,28.2,62.6,5.1,15.7,15.9,23.7,14.2,28.5,42.6,15.5,6.3,5.5,13.3,16.1,45.0,32.8,67.2,2011
1326.0,37.0,77.1,27.5,55.6,7.7,18.2,14.5,20.6,11.3,23.2,34.5,15.9,7.1,3.2,10.1,14.0,49.4,42.3,70.1,2011
1322.0,32.0,76.9,26.0,58.7,6.6,19.1,18.3,28.8,13.7,22.6,36.3,13.3,9.2,7.0,16.9,23.0,44.3,34.5,63.7,2011
1268.0,33.0,76.8,28.2,60.0,4.6,13.2,15.8,23.3,12.8,26.2,39.0,16.9,6.7,4.5,13.6,16.6,47.1,34.8,67.7,2011
1247.0,33.0,76.8,28.0,62.7,6.3,17.3,14.6,20.6,14.0,24.6,38.6,15.0,7.4,4.0,15.5,18.6,44.6,36.4,70.9,2011
