Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS,Year
1437.0,36-4,Big East,1.0,11.0,16-2,2018
1438.0,31-3,ACC,2.0,32.0,17-2,2018
1276.0,33-8,Big Ten,3.0,28.0,12-5,2018
1242.0,31-8,Big 12,4.0,3.0,19-5,2018
1462.0,29-6,Big East,5.0,40.0,10-4,2018
1181.0,29-8,ACC,6.0,8.0,14-6,2018
1277.0,30-5,Big Ten,7.0,60.0,6-5,2018
1345.0,30-7,Big Ten,8.0,34.0,11-5,2018
1314.0,26-11,ACC,9.0,1.0,15-10,2018
1403.0,27-10,Big 12,10.0,7.0,13-8,2018
1153.0,31-5,American,11.0,74.0,3-5,2018
1397.0,26-9,SEC,12.0,17.0,7-7,2018
1155.0,25-10,ACC,13.0,14.0,9-9,2018
1452.0,26-11,Big 12,14.0,12.0,13-9,2018
1211.0,32-5,WCC,15.0,90.0,5-4,2018
1326.0,25-9,Big Ten,16.0,35.0,4-9,2018
1246.0,26-11,SEC,17.0,16.0,8-9,2018
1120.0,26-8,SEC,18.0,65.0,5-4,2018
1222.0,27-8,American,19.0,67.0,4-4,2018
1243.0,25-12,Big 12,20.0,31.0,9-11,2018
1199.0,23-12,ACC,21.0,20.0,10-9,2018
1455.0,25-8,American,22.0,68.0,4-5,2018
1401.0,22-13,SEC,23.0,6.0,7-8,2018
1260.0,32-6,MVC,24.0,119.0,5-1,2018
1371.0,22-12,Big East,25.0,19.0,6-10,2018
1274.0,22-10,ACC,26.0,53.0,8-7,2018
1112.0,27-8,Pac-12,27.0,72.0,3-2,2018
1305.0,29-8,Mountain West,28.0,82.0,4-3,2018
1116.0,23-12,SEC,29.0,36.0,6-9,2018
1348.0,26-8,A-10,30.0,77.0,3-5,2018
1139.0,21-14,Big East,31.0,5.0,7-11,2018
1395.0,21-12,Big 12,32.0,26.0,6-11,2018
1393.0,23-14,ACC,33.0,24.0,8-10,2018
1336.0,26-13,Big Ten,34.0,56.0,6-7,2018
1382.0,26-8,A-10,35.0,80.0,4-5,2018
1196.0,21-13,SEC,36.0,18.0,9-7,2018
1304.0,22-11,Big Ten,37.0,57.0,3-7,2018
1280.0,25-12,SEC,38.0,62.0,5-8,2018
1439.0,21-12,ACC,39.0,43.0,6-10,2018
1400.0,19-15,Big 12,40.0,2.0,6-14,2018
1166.0,21-12,Big East,41.0,48.0,3-10,2018
1344.0,21-14,Big East,42.0,22.0,7-11,2018
1301.0,21-12,ACC,43.0,51.0,9-8,2018
1328.0,18-14,Big 12,44.0,4.0,7-10,2018
1266.0,21-14,Big East,45.0,29.0,4-10,2018
1257.0,22-14,ACC,46.0,37.0,6-13,2018
1329.0,21-15,Big 12,48.0,30.0,8-14,2018
1308.0,28-6,WAC,49.0,173.0,2-2,2018
1104.0,20-16,SEC,50.0,15.0,9-10,2018
