Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS,Year
1246.0,38-2,SEC,1.0,19.0,14-2,2012
1393.0,34-3,Big East,2.0,32.0,14-2,2012
1242.0,32-7,Big 12,3.0,4.0,15-7,2012
1326.0,31-8,Big Ten,4.0,2.0,13-7,2012
1277.0,29-8,Big Ten,5.0,1.0,14-6,2012
1314.0,32-6,ACC,6.0,25.0,13-6,2012
1124.0,30-8,Big 12,7.0,8.0,10-8,2012
1281.0,30-5,Big 12,8.0,53.0,10-3,2012
1257.0,30-10,Big East,9.0,5.0,13-7,2012
1181.0,27-7,ACC,10.0,16.0,9-6,2012
1231.0,27-9,Big Ten,11.0,11.0,9-7,2012
1458.0,26-10,Big Ten,12.0,6.0,9-8,2012
1266.0,27-8,Big East,13.0,31.0,8-6,2012
1276.0,24-10,Big Ten,14.0,3.0,9-7,2012
1293.0,31-2,MVC,15.0,288.0,2-1,2012
1166.0,29-6,MVC,16.0,88.0,3-2,2012
1207.0,24-9,Big East,17.0,24.0,8-8,2012
1199.0,25-10,ACC,18.0,22.0,9-7,2012
1196.0,26-11,SEC,19.0,27.0,6-7,2012
1153.0,26-11,Big East,20.0,28.0,9-6,2012
1435.0,25-11,SEC,21.0,20.0,7-6,2012
1211.0,26-7,WCC,22.0,83.0,5-5,2012
1455.0,27-6,MVC,23.0,113.0,3-4,2012
1396.0,24-8,A-10,24.0,60.0,4-2,2012
1361.0,26-8,Mountain West,25.0,70.0,4-6,2012
1387.0,26-8,A-10,26.0,73.0,3-4,2012
1388.0,27-6,WCC,27.0,131.0,4-3,2012
1424.0,26-9,Mountain West,28.0,63.0,3-4,2012
1243.0,22-11,Big 12,29.0,26.0,6-9,2012
1345.0,22-13,Big Ten,30.0,7.0,6-11,2012
1235.0,23-11,Big 12,31.0,39.0,6-8,2012
1433.0,29-7,CAA,32.0,127.0,2-3,2012
1272.0,26-9,CUSA,33.0,66.0,3-5,2012
1307.0,28-7,Mountain West,34.0,121.0,4-2,2012
1217.0,26-5,Ivy,35.0,194.0,1-2,2012
1438.0,22-10,ACC,36.0,51.0,4-7,2012
1301.0,24-13,ACC,37.0,34.0,5-10,2012
1323.0,22-12,Big East,38.0,33.0,7-8,2012
1325.0,29-8,MAC,39.0,132.0,1-2,2012
1253.0,25-9,Big West,40.0,95.0,2-6,2012
1278.0,23-15,Big Ten,41.0,21.0,2-9,2012
1379.0,25-9,CUSA,43.0,115.0,1-2,2012
1140.0,26-9,WCC,44.0,117.0,2-7,2012
1104.0,21-12,SEC,45.0,46.0,3-7,2012
1462.0,23-13,A-10,46.0,48.0,4-7,2012
1400.0,20-14,Big 12,47.0,15.0,4-12,2012
1378.0,22-14,Big East,48.0,37.0,6-7,2012
1305.0,28-7,WAC,49.0,201.0,0-3,2012
1163.0,20-14,Big East,50.0,23.0,5-8,2012
