Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS,Year
1246.0,38-1,SEC,1.0,40.0,16-1,2015
1458.0,36-3,Big Ten,2.0,10.0,16-2,2015
1181.0,34-4,ACC,3.0,4.0,14-4,2015
1438.0,30-4,ACC,4.0,27.0,10-4,2015
1323.0,32-6,ACC,5.0,20.0,12-5,2015
1437.0,33-3,Big East,6.0,55.0,14-2,2015
1242.0,27-9,Big 12,7.0,2.0,14-7,2015
1211.0,35-3,WCC,8.0,96.0,6-3,2015
1112.0,34-4,Pac-12,9.0,76.0,5-1,2015
1268.0,28-7,Big Ten,10.0,28.0,9-7,2015
1257.0,27-9,ACC,11.0,5.0,9-9,2015
1314.0,26-12,ACC,12.0,1.0,10-11,2015
1277.0,27-12,Big Ten,13.0,3.0,12-10,2015
1235.0,25-9,Big 12,14.0,9.0,13-5,2015
1320.0,31-4,MVC,15.0,104.0,4-3,2015
1452.0,25-10,Big 12,16.0,15.0,7-9,2015
1455.0,30-5,MVC,17.0,98.0,3-3,2015
1328.0,24-11,Big 12,18.0,7.0,11-7,2015
1124.0,24-10,Big 12,19.0,13.0,8-8,2015
1116.0,27-9,SEC,20.0,59.0,5-6,2015
1207.0,22-11,Big East,21.0,17.0,6-11,2015
1326.0,24-11,Big Ten,22.0,34.0,7-10,2015
1139.0,23-11,Big East,23.0,25.0,7-10,2015
1433.0,26-10,A-10,24.0,54.0,7-8,2015
1234.0,22-12,Big Ten,25.0,11.0,8-10,2015
1374.0,27-7,American,26.0,91.0,0-5,2015
1172.0,24-8,A-10,27.0,70.0,4-6,2015
1344.0,22-12,Big East,28.0,19.0,8-9,2015
1332.0,26-10,Pac-12,29.0,61.0,4-6,2015
1301.0,22-14,ACC,30.0,8.0,6-10,2015
1361.0,27-9,Mountain West,31.0,79.0,3-3,2015
1173.0,27-9,A-10,32.0,77.0,6-4,2015
1428.0,26-9,Pac-12,33.0,74.0,4-4,2015
1462.0,23-14,Big East,34.0,18.0,9-8,2015
1274.0,25-13,ACC,35.0,42.0,6-7,2015
1385.0,21-12,Big East,36.0,39.0,7-8,2015
1372.0,29-5,Southland,37.0,235.0,0-4,2015
1345.0,21-13,Big Ten,38.0,30.0,8-9,2015
1400.0,20-14,Big 12,39.0,16.0,3-13,2015
1208.0,21-12,SEC,40.0,44.0,3-7,2015
1231.0,20-14,Big Ten,41.0,33.0,6-12,2015
1293.0,29-6,OVC,42.0,251.0,0-2,2015
1261.0,22-11,SEC,43.0,67.0,7-3,2015
1390.0,24-13,Pac-12,44.0,62.0,4-6,2015
1329.0,18-14,Big 12,45.0,24.0,5-9,2015
1153.0,23-11,American,46.0,80.0,4-4,2015
1396.0,26-11,American,47.0,88.0,2-7,2015
1459.0,28-7,Southern,48.0,192.0,1-3,2015
1393.0,18-13,ACC,49.0,36.0,3-8,2015
1161.0,27-7,Mountain West,50.0,197.0,0-0,2015
