Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS,Year
1124.0,28-2,Big 12,1.0,43.0,14-2,2021
1211.0,31-1,WCC,2.0,72.0,11-1,2021
1228.0,24-7,Big Ten,3.0,5.0,14-6,2021
1276.0,23-5,Big Ten,4.0,15.0,13-3,2021
1104.0,26-7,SEC,5.0,30.0,9-5,2021
1116.0,25-7,SEC,6.0,56.0,7-7,2021
1234.0,22-9,Big Ten,7.0,16.0,10-8,2021
1222.0,28-4,American,8.0,99.0,5-1,2021
1425.0,25-8,Pac-12,9.0,48.0,7-6,2021
1326.0,21-10,Big Ten,10.0,9.0,12-6,2021
1329.0,21-9,Big 12,11.0,20.0,10-6,2021
1242.0,21-9,Big 12,12.0,31.0,8-9,2021
1400.0,19-8,Big 12,13.0,23.0,9-7,2021
1417.0,22-10,Pac-12,14.0,28.0,6-7,2021
1332.0,21-7,Pac-12,15.0,61.0,6-4,2021
1199.0,18-7,ACC,16.0,39.0,9-5,2021
1166.0,22-9,Big East,17.0,55.0,6-3,2021
1437.0,18-7,Big East,18.0,47.0,5-3,2021
1160.0,23-9,Pac-12,19.0,63.0,6-5,2021
1345.0,18-10,Big Ten,20.0,13.0,8-7,2021
1261.0,19-10,SEC,21.0,22.0,7-8,2021
1438.0,18-7,ACC,22.0,60.0,7-5,2021
1452.0,19-10,Big 12,23.0,26.0,5-10,2021
1458.0,18-13,Big Ten,24.0,4.0,7-12,2021
1140.0,20-7,WCC,25.0,78.0,1-5,2021
1155.0,16-8,ACC,26.0,34.0,8-7,2021
1353.0,16-12,Big Ten,27.0,2.0,8-10,2021
1314.0,18-11,ACC,28.0,21.0,6-10,2021
1361.0,23-5,Mountain West,29.0,115.0,1-2,2021
1281.0,16-10,SEC,30.0,18.0,6-7,2021
1260.0,26-5,MVC,31.0,128.0,2-1,2021
1393.0,18-10,ACC,32.0,41.0,8-8,2021
1397.0,18-9,SEC,33.0,57.0,6-6,2021
1210.0,17-9,ACC,34.0,50.0,7-6,2021
1382.0,16-5,A-10,35.0,89.0,1-2,2021
1257.0,13-7,ACC,36.0,42.0,5-6,2021
1433.0,19-7,A-10,37.0,84.0,3-4,2021
1163.0,15-8,Big East,38.0,53.0,2-6,2021
1403.0,18-11,Big 12,39.0,45.0,5-11,2021
1196.0,15-10,SEC,40.0,27.0,5-6,2021
1277.0,15-13,Big Ten,41.0,8.0,8-11,2021
1328.0,16-11,Big 12,42.0,36.0,6-9,2021
1333.0,20-13,Pac-12,43.0,46.0,8-8,2021
1268.0,17-14,Big Ten,44.0,14.0,5-13,2021
1179.0,26-5,MVC,45.0,160.0,1-3,2021
1439.0,15-7,ACC,46.0,76.0,4-5,2021
1112.0,17-9,Pac-12,47.0,75.0,2-6,2021
1455.0,16-6,American,48.0,98.0,2-4,2021
1457.0,23-2,Big South,49.0,307.0,0-1,2021
1272.0,20-8,American,50.0,100.0,0-2,2021
