Team_name,Team_GP,Team_PTS,Team_FGM,Team_FGA,Team_ThreePM,Team_ThreePA,Team_FTM,Team_FTA,Team_OR,Team_DR,Team_REB,Team_AST,Team_STL,Team_BLK,Team_TO,Team_PF,Team_FG_percent,Team_ThreeP_percent,Team_FT_percent,Year
1211.0,32.0,87.2,32.7,62.6,8.2,22.1,13.7,19.2,9.7,32.2,41.9,18.1,6.4,5.8,11.6,15.6,52.1,37.0,71.3,2022
1112.0,37.0,84.0,30.2,61.3,7.8,22.0,15.8,21.4,11.6,29.8,41.4,19.6,6.7,5.7,13.4,16.7,49.2,35.2,73.9,2022
1331.0,31.0,83.3,30.2,66.2,11.6,30.6,11.2,15.4,11.0,29.2,40.2,11.7,5.5,4.2,9.9,15.4,45.7,38.0,73.0,2022
1234.0,36.0,83.2,29.8,64.5,9.2,25.3,14.5,19.4,11.9,25.4,37.3,16.0,7.3,4.3,9.2,16.3,46.1,36.3,74.9,2022
1412.0,35.0,80.3,29.6,63.2,7.9,21.0,13.3,18.0,12.1,26.1,38.2,12.9,9.5,4.2,11.5,16.5,46.8,37.6,73.9,2022
1132.0,31.0,80.3,28.4,65.3,8.2,24.2,15.2,20.5,12.2,26.6,38.8,12.6,7.3,3.4,12.3,17.7,43.5,34.0,73.9,2022
1181.0,39.0,80.1,29.7,60.4,7.9,21.6,12.8,17.3,10.5,27.4,37.9,16.5,6.4,5.6,10.3,13.7,49.1,36.6,73.8,2022
1138.0,30.0,79.9,29.7,65.2,8.5,24.9,12.0,17.0,14.2,28.3,42.4,15.0,7.1,4.6,13.2,17.1,45.5,34.2,70.9,2022
1405.0,34.0,79.9,29.9,62.4,6.9,19.5,13.2,17.5,10.7,29.2,39.9,15.3,5.5,2.8,10.2,15.1,47.9,35.4,75.4,2022
1343.0,30.0,79.8,30.3,62.2,10.9,28.2,8.3,12.9,8.9,26.6,35.5,15.5,6.2,1.8,10.2,14.0,48.8,38.7,63.9,2022
1385.0,32.0,79.6,30.3,66.8,7.3,21.6,11.8,17.4,12.0,25.9,37.8,18.8,8.8,5.5,11.9,17.9,45.3,33.5,67.7,2022
1104.0,33.0,79.5,27.6,62.8,9.2,29.9,15.0,20.6,13.4,26.2,39.6,14.7,7.1,4.7,14.5,18.5,43.9,30.9,72.8,2022
1246.0,34.0,79.4,30.3,62.8,6.1,17.5,12.8,17.6,12.9,27.2,40.1,16.2,6.8,4.2,11.6,14.3,48.3,34.7,72.6,2022
1345.0,37.0,79.4,27.7,56.6,8.5,22.2,15.4,21.6,11.1,27.5,38.7,16.2,4.6,3.5,11.8,14.5,49.0,38.4,71.1,2022
1184.0,31.0,79.3,28.6,68.5,11.7,33.2,10.3,14.6,12.6,23.6,36.2,15.6,10.2,3.6,11.6,16.6,41.7,35.3,70.6,2022
1165.0,26.0,79.2,28.3,60.6,9.7,27.7,13.0,18.4,9.9,28.0,37.9,17.3,7.9,2.9,14.2,18.7,46.7,34.8,70.7,2022
