Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS,Year
1163.0,37-3,Big East,1.0,13.0,19-2,2024
1345.0,34-5,Big Ten,2.0,1.0,17-5,2024
1222.0,32-5,Big 12,3.0,12.0,16-5,2024
1235.0,29-8,Big 12,4.0,21.0,13-7,2024
1314.0,29-8,ACC,5.0,17.0,12-6,2024
1397.0,27-9,SEC,6.0,10.0,11-8,2024
1228.0,29-9,Big Ten,7.0,18.0,12-7,2024
1266.0,27-10,Big East,8.0,9.0,12-8,2024
1104.0,25-12,SEC,9.0,2.0,8-12,2024
1124.0,24-11,Big 12,10.0,5.0,11-10,2024
1181.0,27-9,ACC,11.0,44.0,8-7,2024
1120.0,27-8,SEC,12.0,61.0,6-6,2024
1242.0,23-11,Big 12,13.0,6.0,10-8,2024
1166.0,25-10,Big East,14.0,25.0,8-7,2024
1376.0,26-8,SEC,15.0,71.0,7-5,2024
1112.0,27-9,Pac-12,16.0,53.0,9-5,2024
1211.0,27-8,WCC,17.0,84.0,3-6,2024
1155.0,24-12,ACC,18.0,26.0,9-6,2024
1458.0,22-14,Big Ten,19.0,3.0,10-9,2024
1403.0,23-11,Big 12,20.0,35.0,7-9,2024
1196.0,24-12,SEC,21.0,32.0,7-8,2024
1371.0,25-12,Big East,22.0,46.0,7-9,2024
1429.0,28-7,Mountain West,23.0,91.0,5-4,2024
1173.0,25-8,A-10,24.0,82.0,2-3,2024
1301.0,26-15,ACC,25.0,28.0,7-10,2024
1246.0,23-10,SEC,26.0,63.0,7-6,2024
1140.0,23-11,Big 12,27.0,52.0,7-8,2024
1321.0,22-12,Big Ten,28.0,33.0,7-9,2024
1361.0,26-11,Mountain West,29.0,75.0,3-6,2024
1160.0,26-11,Pac-12,30.0,74.0,6-5,2024
1304.0,23-11,Big Ten,31.0,59.0,5-8,2024
1400.0,21-13,Big 12,32.0,24.0,6-10,2024
1241.0,32-4,Sun Belt,33.0,223.0,2-1,2024
1232.0,32-7,MVC,34.0,118.0,2-2,2024
1450.0,25-10,Pac-12,35.0,80.0,5-5,2024
1328.0,20-12,Big 12,36.0,30.0,6-11,2024
1438.0,23-11,ACC,37.0,70.0,6-8,2024
1395.0,21-13,Big 12,38.0,37.0,6-10,2024
1213.0,30-5,WAC,39.0,177.0,2-1,2024
1385.0,20-13,Big East,40.0,27.0,5-8,2024
1401.0,21-15,SEC,41.0,15.0,8-7,2024
1332.0,24-12,Pac-12,42.0,73.0,4-8,2024
1338.0,22-11,ACC,43.0,72.0,6-7,2024
1305.0,26-8,Mountain West,44.0,95.0,3-5,2024
1277.0,20-15,Big Ten,45.0,11.0,5-12,2024
1393.0,20-12,ACC,46.0,43.0,6-8,2024
1280.0,21-14,SEC,47.0,29.0,5-9,2024
1194.0,25-9,American,48.0,89.0,3-2,2024
1344.0,21-14,Big East,49.0,38.0,5-9,2024
1179.0,28-7,MVC,50.0,134.0,2-2,2024
