Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS,Year
1314.0,34-4,ACC,1.0,12.0,15-4,2009
1163.0,31-5,Big East,2.0,10.0,12-5,2009
1338.0,31-5,Big East,3.0,18.0,11-4,2009
1277.0,31-7,Big Ten,4.0,8.0,13-5,2009
1181.0,30-7,ACC,5.0,5.0,14-6,2009
1257.0,31-6,Big East,6.0,32.0,12-3,2009
1437.0,30-8,Big East,7.0,9.0,10-8,2009
1272.0,33-4,CUSA,8.0,68.0,8-4,2009
1328.0,30-6,Big 12,9.0,41.0,12-5,2009
1393.0,28-10,Big East,10.0,6.0,10-8,2009
1281.0,31-7,Big 12,11.0,50.0,12-5,2009
1448.0,24-7,ACC,12.0,31.0,10-3,2009
1199.0,25-10,ACC,13.0,1.0,7-9,2009
1211.0,28-6,WCC,14.0,71.0,7-3,2009
1242.0,27-8,Big 12,15.0,44.0,11-5,2009
1345.0,27-10,Big Ten,16.0,37.0,9-7,2009
1462.0,27-8,A-10,17.0,55.0,5-4,2009
1266.0,25-10,Big East,18.0,30.0,6-8,2009
1452.0,23-12,Big East,19.0,4.0,6-10,2009
1449.0,26-9,Pac-12,20.0,54.0,6-7,2009
1417.0,26-9,Pac-12,21.0,57.0,7-6,2009
1155.0,23-9,ACC,22.0,48.0,6-5,2009
1113.0,25-10,Pac-12,23.0,46.0,7-7,2009
1329.0,23-12,Big 12,24.0,13.0,5-11,2009
1261.0,27-8,SEC,25.0,75.0,5-2,2009
1326.0,22-11,Big Ten,26.0,22.0,6-8,2009
1400.0,23-12,Big 12,27.0,16.0,8-9,2009
1228.0,24-10,Big Ten,28.0,51.0,6-5,2009
1336.0,27-11,Big Ten,29.0,56.0,7-7,2009
1139.0,26-6,Horizon,30.0,107.0,3-2,2009
1173.0,27-8,A-10,31.0,86.0,4-2,2009
1401.0,24-10,Big 12,32.0,59.0,6-8,2009
1268.0,21-14,ACC,33.0,2.0,5-12,2009
1143.0,22-11,Pac-12,34.0,45.0,4-8,2009
1425.0,22-13,Pac-12,35.0,24.0,7-9,2009
1276.0,21-14,Big Ten,36.0,11.0,5-12,2009
1397.0,21-13,SEC,37.0,17.0,4-9,2009
1278.0,22-11,Big Ten,38.0,52.0,6-7,2009
1124.0,24-15,Big 12,39.0,25.0,6-9,2009
1130.0,22-12,ACC,40.0,42.0,5-8,2009
1388.0,28-7,WCC,41.0,144.0,1-3,2009
1373.0,27-8,MAAC,42.0,110.0,1-5,2009
1274.0,19-13,ACC,43.0,15.0,6-9,2009
1409.0,25-11,CUSA,44.0,70.0,3-7,2009
1112.0,21-14,Pac-12,45.0,27.0,6-10,2009
1429.0,30-5,WAC,46.0,275.0,0-3,2009
1458.0,20-13,Big Ten,47.0,39.0,3-9,2009
1196.0,25-11,SEC,48.0,77.0,3-6,2009
1323.0,21-15,Big East,49.0,20.0,5-12,2009
1396.0,22-12,A-10,50.0,58.0,2-5,2009
