Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS,Year
1104.0,31-6,SEC,1.0,12.0,15-5,2023
1242.0,28-8,Big 12,2.0,1.0,15-8,2023
1163.0,31-8,Big East,3.0,16.0,13-6,2023
1400.0,29-9,Big 12,4.0,7.0,16-8,2023
1345.0,29-6,Big Ten,5.0,29.0,16-5,2023
1222.0,33-4,American,6.0,77.0,11-3,2023
1417.0,31-6,Pac-12,7.0,47.0,7-5,2023
1266.0,29-7,Big East,8.0,34.0,8-6,2023
1211.0,31-6,WCC,9.0,66.0,8-5,2023
1361.0,32-7,Mountain West,10.0,52.0,8-5,2023
1274.0,29-8,ACC,11.0,41.0,10-5,2023
1112.0,28-7,Pac-12,12.0,51.0,8-2,2023
1194.0,35-4,CUSA,13.0,110.0,3-1,2023
1462.0,27-10,Big East,14.0,25.0,9-7,2023
1124.0,23-11,Big 12,15.0,6.0,10-11,2023
1243.0,26-10,Big 12,16.0,22.0,11-7,2023
1181.0,27-9,ACC,17.0,43.0,9-6,2023
1281.0,25-10,SEC,18.0,40.0,9-8,2023
1272.0,26-9,American,19.0,54.0,7-5,2023
1438.0,25-8,ACC,20.0,59.0,6-4,2023
1231.0,23-12,Big Ten,21.0,13.0,10-12,2023
1277.0,21-13,Big Ten,22.0,4.0,10-11,2023
1397.0,25-11,SEC,23.0,38.0,9-6,2023
1401.0,25-10,SEC,24.0,49.0,6-7,2023
1395.0,22-13,Big 12,25.0,10.0,9-11,2023
1166.0,24-13,Big East,26.0,18.0,6-9,2023
1336.0,23-14,Big Ten,27.0,14.0,11-8,2023
1321.0,22-12,Big Ten,28.0,24.0,10-9,2023
1235.0,19-14,Big 12,29.0,3.0,9-10,2023
1246.0,22-12,SEC,30.0,31.0,7-7,2023
1388.0,27-8,WCC,31.0,89.0,2-4,2023
1116.0,22-14,SEC,32.0,19.0,6-11,2023
1268.0,22-13,Big Ten,33.0,28.0,8-10,2023
1120.0,21-13,SEC,34.0,20.0,5-10,2023
1317.0,31-7,CUSA,35.0,115.0,2-3,2023
1452.0,19-15,Big 12,36.0,5.0,6-13,2023
1458.0,20-15,Big Ten,37.0,11.0,9-11,2023
1228.0,20-13,Big Ten,38.0,30.0,6-12,2023
1344.0,21-12,Big East,39.0,46.0,3-9,2023
1429.0,26-9,Mountain West,40.0,91.0,2-4,2023
1301.0,23-11,ACC,41.0,67.0,3-6,2023
1329.0,20-16,Big 12,42.0,9.0,5-13,2023
1425.0,22-11,Pac-12,43.0,62.0,2-6,2023
1158.0,31-4,CAA,44.0,299.0,0-2,2023
1234.0,19-14,Big Ten,45.0,17.0,10-9,2023
1129.0,24-10,Mountain West,46.0,81.0,3-4,2023
1338.0,24-12,ACC,47.0,69.0,8-5,2023
1331.0,30-5,Summit,48.0,259.0,1-4,2023
1113.0,23-13,Pac-12,49.0,55.0,3-6,2023
1435.0,22-15,SEC,50.0,37.0,6-9,2023
