Team_name,Team_GP,Team_PTS,Team_FGM,Team_FGA,Team_ThreePM,Team_ThreePA,Team_FTM,Team_FTA,Team_OR,Team_DR,Team_REB,Team_AST,Team_STL,Team_BLK,Team_TO,Team_PF,Team_FG_percent,Team_ThreeP_percent,Team_FT_percent,Year
1233.0,33.0,82.9,30.9,61.6,7.7,19.9,13.3,18.7,10.7,24.1,34.8,19.3,7.3,2.2,12.5,16.9,50.2,38.7,71.3,2012
1254.0,34.0,81.4,27.1,57.1,6.6,17.8,20.7,28.4,11.6,26.4,38.1,14.7,6.1,3.3,16.1,15.6,47.4,37.1,73.0,2012
1314.0,37.0,81.3,29.9,64.9,5.1,15.1,16.4,24.3,15.4,29.8,45.2,17.5,6.8,5.9,12.1,14.5,46.0,33.8,67.7,2012
1125.0,35.0,80.9,27.9,57.9,8.8,23.3,16.3,22.2,11.5,24.5,36.0,17.3,7.3,2.2,12.3,17.9,48.1,37.8,73.5,2012
1421.0,34.0,80.7,27.1,56.1,6.6,18.5,20.1,26.3,11.1,23.6,34.6,16.6,8.3,2.6,13.4,18.0,48.2,35.5,76.4,2012
1281.0,35.0,80.4,28.0,55.6,8.4,21.1,16.0,20.9,9.1,22.9,32.0,16.2,8.1,2.8,10.2,14.3,50.4,39.8,76.6,2012
1324.0,36.0,79.9,26.3,58.4,9.3,24.9,17.9,24.4,11.0,22.8,33.8,13.2,6.4,2.1,11.9,18.2,45.0,37.4,73.7,2012
1440.0,33.0,79.7,27.0,60.8,8.6,26.9,17.1,23.8,10.2,22.5,32.7,13.3,8.3,3.8,13.3,18.7,44.5,31.9,71.9,2012
1166.0,35.0,79.2,27.9,55.3,8.2,19.3,15.3,21.1,9.4,26.5,36.0,17.6,4.8,2.3,12.0,16.9,50.4,42.4,72.6,2012
1333.0,36.0,78.9,27.6,58.1,6.1,17.1,17.5,25.9,11.7,23.1,34.8,15.8,9.1,4.6,14.1,18.7,47.5,35.9,67.7,2012
1308.0,36.0,78.1,26.9,56.8,4.6,14.0,19.6,29.4,14.4,25.4,39.8,13.8,6.8,4.3,14.8,17.5,47.4,32.7,66.8,2012
1168.0,31.0,78.0,26.9,56.9,8.6,21.3,15.6,22.5,12.4,25.1,37.5,15.0,5.6,2.7,15.4,19.5,47.2,40.4,69.4,2012
1140.0,35.0,77.9,27.9,60.0,6.7,19.4,15.4,22.0,10.9,27.6,38.5,17.1,8.5,4.4,13.5,18.2,46.5,34.3,70.0,2012
1172.0,33.0,77.9,26.6,59.7,7.7,23.0,16.9,22.2,12.6,26.3,38.8,13.8,5.6,3.5,11.8,20.4,44.6,33.6,76.2,2012
1246.0,39.0,77.7,27.5,56.0,5.6,14.5,17.1,23.6,12.1,26.8,38.9,13.3,6.1,8.6,11.4,14.6,49.1,38.6,72.5,2012
1181.0,34.0,77.3,25.7,56.3,8.1,21.7,17.8,25.4,11.9,24.8,36.7,12.4,6.2,4.0,12.2,18.4,45.6,37.1,70.1,2012
1451.0,32.0,77.3,25.8,56.2,8.9,22.8,16.8,20.7,8.7,25.4,34.1,13.3,5.6,2.4,10.6,18.1,45.9,39.1,81.4,2012
1231.0,36.0,77.3,26.4,53.6,6.4,14.8,18.2,23.8,10.6,23.8,34.4,13.5,6.5,3.2,12.9,17.6,49.2,43.1,76.3,2012
1455.0,33.0,77.1,27.6,57.3,7.0,18.8,14.9,19.9,10.9,27.1,38.0,14.7,6.3,3.9,12.2,16.8,48.2,37.1,74.8,2012
1269.0,37.0,76.9,27.5,63.3,7.8,22.3,14.2,21.2,13.5,26.0,39.5,15.3,8.8,4.8,14.8,20.5,43.4,34.9,67.3,2012
1426.0,33.0,76.9,25.5,57.1,6.9,19.6,18.9,26.9,13.3,26.0,39.3,13.4,7.9,3.7,16.1,19.2,44.7,35.4,70.3,2012
1149.0,31.0,76.9,26.9,60.2,8.4,22.0,14.6,21.2,12.7,22.9,35.6,12.8,8.1,2.6,13.4,18.1,44.7,38.0,69.0,2012
1370.0,27.0,76.5,28.9,66.4,7.1,21.4,11.7,16.8,13.7,27.7,41.5,13.8,8.4,3.2,15.3,21.0,43.5,33.0,69.6,2012
1402.0,30.0,76.4,26.5,61.4,8.2,22.6,15.2,21.3,12.0,24.1,36.1,14.0,8.2,3.2,14.8,20.9,43.2,36.1,71.2,2012
1424.0,35.0,76.3,26.9,58.9,8.3,22.8,14.2,21.0,11.7,26.0,37.7,17.6,8.5,4.8,13.3,17.3,45.7,36.4,67.6,2012
1340.0,32.0,76.2,26.4,54.7,5.8,16.6,17.5,23.8,10.4,24.3,34.8,11.6,5.3,2.8,13.5,16.8,48.3,34.8,73.7,2012
1196.0,37.0,75.9,26.4,56.9,9.6,25.4,13.5,18.9,11.2,24.5,35.7,14.9,6.3,3.4,11.1,15.5,46.3,38.0,71.3,2012
1250.0,35.0,75.7,25.8,58.0,7.3,20.7,16.9,21.9,11.0,24.8,35.9,13.0,7.7,3.0,11.2,17.9,44.4,35.0,76.8,2012
1449.0,35.0,75.6,27.6,61.6,6.2,18.1,14.2,22.8,14.6,25.5,40.1,13.6,6.7,4.0,13.1,19.7,44.8,34.3,62.4,2012
