Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS,Year
1242.0,28-3,Big 12,1.0,11.0,11-3,2020
1124.0,26-4,Big 12,2.0,29.0,10-2,2020
1211.0,31-2,WCC,3.0,95.0,6-2,2020
1268.0,24-7,Big Ten,4.0,9.0,12-7,2020
1199.0,26-5,ACC,5.0,39.0,7-3,2020
1361.0,30-2,Mountain West,6.0,105.0,5-1,2020
1173.0,29-2,A-10,7.0,102.0,2-2,2020
1437.0,24-7,Big East,8.0,23.0,9-7,2020
1166.0,24-7,Big East,9.0,28.0,11-5,2020
1246.0,25-6,SEC,10.0,56.0,9-2,2020
1277.0,22-9,Big Ten,11.0,7.0,12-8,2020
1181.0,25-6,ACC,12.0,59.0,5-3,2020
1458.0,21-10,Big Ten,13.0,4.0,12-9,2020
1120.0,25-6,SEC,14.0,66.0,6-2,2020
1257.0,24-7,ACC,15.0,52.0,5-5,2020
1332.0,24-7,Pac-12,16.0,53.0,6-2,2020
1438.0,23-7,ACC,17.0,43.0,4-5,2020
1371.0,21-9,Big East,18.0,13.0,8-8,2020
1326.0,21-10,Big Ten,19.0,10.0,11-10,2020
1139.0,22-9,Big East,20.0,25.0,9-7,2020
1336.0,21-10,Big Ten,21.0,16.0,10-8,2020
1228.0,21-10,Big Ten,22.0,24.0,10-8,2020
1234.0,20-11,Big Ten,23.0,5.0,12-9,2020
1276.0,19-12,Big Ten,24.0,1.0,9-12,2020
1452.0,21-10,Big 12,25.0,22.0,4-6,2020
1190.0,30-4,Southern,26.0,167.0,1-1,2020
1140.0,24-8,WCC,27.0,76.0,4-5,2020
1388.0,26-8,WCC,28.0,86.0,4-5,2020
1231.0,20-12,Big Ten,29.0,17.0,7-12,2020
1222.0,23-8,American,30.0,75.0,3-3,2020
1328.0,19-12,Big 12,31.0,14.0,5-7,2020
1455.0,23-8,American,32.0,78.0,1-5,2020
1353.0,20-11,Big Ten,33.0,33.0,9-9,2020
1425.0,22-9,Pac-12,34.0,69.0,2-5,2020
1429.0,26-8,Mountain West,35.0,104.0,3-4,2020
1400.0,19-12,Big 12,36.0,27.0,4-9,2020
1261.0,21-10,SEC,37.0,61.0,3-6,2020
1266.0,18-12,Big East,38.0,21.0,5-10,2020
1350.0,24-7,A-10,39.0,110.0,1-2,2020
1372.0,28-3,Southland,40.0,330.0,1-1,2020
1113.0,20-11,Pac-12,41.0,51.0,2-7,2020
1196.0,19-12,SEC,42.0,36.0,5-8,2020
1348.0,21-9,A-10,43.0,83.0,1-6,2020
1112.0,21-11,Pac-12,44.0,64.0,2-4,2020
1329.0,18-14,Big 12,45.0,19.0,4-10,2020
1462.0,19-13,Big East,46.0,31.0,3-11,2020
1301.0,20-12,ACC,47.0,48.0,4-4,2020
1153.0,20-10,American,48.0,73.0,3-4,2020
1345.0,16-15,Big Ten,49.0,2.0,8-13,2020
1344.0,19-12,Big East,50.0,44.0,7-6,2020
