Team_name,Team_BPI,Team_DEF_I,Team_OFF_I,Year
1211.0,21.3,6.3,15.0,2021
1124.0,20.7,6.8,13.9,2021
1222.0,18.3,8.4,9.9,2021
1228.0,17.6,8.0,9.7,2021
1276.0,17.4,7.7,9.7,2021
1234.0,17.0,2.7,14.3,2021
1437.0,15.1,4.2,10.9,2021
1403.0,14.4,7.9,6.5,2021
1104.0,14.4,8.6,5.8,2021
1425.0,14.3,7.3,7.0,2021
1326.0,14.2,3.6,10.6,2021
1438.0,13.9,5.8,8.0,2021
1116.0,13.5,7.1,6.4,2021
1397.0,13.3,8.3,5.0,2021
1260.0,13.2,7.7,5.6,2021
1458.0,13.2,7.2,6.0,2021
1166.0,13.1,5.0,8.0,2021
1160.0,13.1,5.7,7.4,2021
1199.0,12.7,5.7,7.0,2021
1261.0,12.6,1.4,11.2,2021
1163.0,12.5,6.1,6.4,2021
1400.0,12.4,5.7,6.7,2021
1361.0,12.2,6.9,5.3,2021
1452.0,12.0,3.9,8.1,2021
1242.0,12.0,6.7,5.3,2021
1314.0,11.7,6.6,5.1,2021
1345.0,11.6,5.4,6.2,2021
1417.0,11.4,3.3,8.1,2021
1382.0,11.3,6.2,5.2,2021
1332.0,11.2,3.0,8.2,2021
1181.0,11.1,3.4,7.7,2021
1140.0,11.1,4.5,6.6,2021
1328.0,11.0,4.6,6.4,2021
1393.0,10.9,4.2,6.8,2021
1272.0,10.8,9.2,1.6,2021
1196.0,10.3,4.5,5.8,2021
1329.0,10.2,6.3,3.9,2021
1210.0,9.9,3.5,6.4,2021
1268.0,9.7,3.8,6.0,2021
1112.0,9.7,3.4,6.3,2021
1353.0,9.6,6.4,3.2,2021
1439.0,9.6,4.5,5.1,2021
1155.0,9.5,7.3,2.3,2021
1387.0,9.5,4.3,5.2,2021
1336.0,9.4,4.0,5.4,2021
1279.0,9.2,7.3,1.9,2021
1301.0,9.0,3.5,5.5,2021
1281.0,9.0,4.2,4.8,2021
1231.0,8.9,4.8,4.0,2021
1371.0,8.8,4.1,4.7,2021
