Team_name,Team_BPI,Team_DEF_I,Team_OFF_I,Year
1222.0,23.0,13.9,9.1,2024
1163.0,22.7,8.9,13.8,2024
1345.0,20.3,7.2,13.1,2024
1120.0,18.5,8.6,9.9,2024
1235.0,18.2,11.5,6.7,2024
1112.0,18.2,8.1,10.0,2024
1397.0,18.1,10.5,7.6,2024
1181.0,17.9,7.0,10.9,2024
1314.0,17.0,7.7,9.3,2024
1166.0,16.8,5.9,10.9,2024
1228.0,16.3,4.5,11.7,2024
1104.0,16.2,2.8,13.4,2024
1266.0,15.3,6.7,8.6,2024
1124.0,15.1,3.3,11.8,2024
1211.0,14.9,4.0,10.9,2024
1388.0,14.0,8.4,5.6,2024
1277.0,13.8,8.3,5.6,2024
1140.0,13.5,4.5,9.0,2024
1458.0,13.3,4.7,8.6,2024
1155.0,12.9,4.9,7.9,2024
1242.0,12.7,6.8,5.9,2024
1400.0,12.7,5.9,6.7,2024
1385.0,12.7,4.7,7.9,2024
1246.0,12.6,2.3,10.3,2024
1196.0,12.1,3.2,8.9,2024
1403.0,11.7,4.2,7.6,2024
1338.0,11.6,5.0,6.6,2024
1401.0,11.5,4.2,7.3,2024
1173.0,11.5,4.0,7.5,2024
1153.0,11.5,6.9,4.6,2024
1448.0,11.5,4.0,7.4,2024
1437.0,11.4,7.1,4.2,2024
1395.0,11.4,5.6,5.8,2024
1280.0,11.1,6.9,4.3,2024
1361.0,11.1,7.3,3.7,2024
1194.0,11.0,2.2,8.8,2024
1304.0,10.7,4.8,5.9,2024
1328.0,10.6,5.0,5.6,2024
1321.0,10.3,3.9,6.4,2024
1232.0,10.2,1.5,8.6,2024
1301.0,10.1,4.3,5.8,2024
1450.0,10.1,5.4,4.7,2024
1326.0,9.9,3.9,6.0,2024
1439.0,9.8,2.9,6.9,2024
1160.0,9.7,3.0,6.7,2024
1344.0,9.4,7.2,2.2,2024
1234.0,9.3,0.5,8.7,2024
1129.0,9.2,4.0,5.2,2024
1307.0,9.1,5.4,3.7,2024
1428.0,9.1,4.3,4.8,2024
