Team_name,Team_BPI,Team_DEF_I,Team_OFF_I,Year
1257.0,20.1,9.4,10.7,2014
1196.0,19.2,14.0,5.2,2014
1181.0,18.8,5.2,13.6,2014
1112.0,17.7,11.8,5.9,2014
1438.0,16.4,16.1,0.2,2014
1437.0,16.2,7.5,8.7,2014
1242.0,15.8,4.8,11.0,2014
1458.0,15.8,8.0,7.8,2014
1276.0,15.7,7.0,8.7,2014
1338.0,15.4,8.3,7.1,2014
1277.0,15.4,6.9,8.5,2014
1246.0,14.9,6.0,8.9,2014
1166.0,14.8,3.3,11.4,2014
1455.0,14.6,9.2,5.4,2014
1397.0,14.5,9.4,5.1,2014
1393.0,14.3,12.6,1.7,2014
1329.0,14.1,3.8,10.3,2014
1234.0,14.1,1.7,12.4,2014
1326.0,13.8,11.8,2.1,2014
1417.0,13.8,1.8,12.0,2014
1361.0,13.3,11.5,1.8,2014
1433.0,13.0,6.2,6.8,2014
1235.0,12.9,0.0,12.8,2014
1211.0,12.8,5.7,7.1,2014
1163.0,12.7,8.5,4.3,2014
1153.0,12.1,12.2,-0.1,2014
1314.0,12.0,3.8,8.2,2014
1217.0,11.8,7.2,4.6,2014
1332.0,11.4,-0.2,11.7,2014
1116.0,11.4,1.1,10.3,2014
1124.0,11.0,5.2,5.8,2014
1256.0,10.7,3.1,7.6,2014
1199.0,10.1,5.7,4.4,2014
1113.0,10.1,2.4,7.6,2014
1272.0,10.0,2.7,7.3,2014
1374.0,9.9,7.3,2.6,2014
1387.0,9.9,8.9,1.0,2014
1428.0,9.9,6.5,3.4,2014
1462.0,9.6,4.5,5.1,2014
1385.0,9.5,5.2,4.4,2014
1328.0,9.5,-1.9,11.4,2014
1155.0,9.2,13.2,-4.0,2014
1203.0,9.1,5.2,3.9,2014
1307.0,9.1,3.3,5.8,2014
1207.0,9.1,5.8,3.3,2014
1269.0,9.1,1.5,7.6,2014
1344.0,8.8,2.7,6.2,2014
1173.0,8.6,4.1,4.5,2014
1268.0,8.5,3.9,4.6,2014
