Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS,Year
1196.0,36-3,SEC,1.0,16.0,13-3,2014
1112.0,33-5,Pac-12,2.0,24.0,11-4,2014
1458.0,30-8,Big Ten,3.0,3.0,11-4,2014
1437.0,29-5,Big East,4.0,39.0,10-4,2014
1438.0,30-7,ACC,5.0,12.0,12-6,2014
1455.0,35-1,MVC,6.0,154.0,2-1,2014
1276.0,28-9,Big Ten,7.0,1.0,8-7,2014
1163.0,31-8,American,8.0,27.0,12-6,2014
1393.0,28-6,ACC,9.0,47.0,10-3,2014
1246.0,29-10,SEC,10.0,4.0,7-8,2014
1235.0,28-8,Big 12,11.0,7.0,9-5,2014
1277.0,29-9,Big Ten,12.0,5.0,9-7,2014
1361.0,31-5,Mountain West,13.0,87.0,4-4,2014
1242.0,25-10,Big 12,14.0,2.0,11-5,2014
1166.0,27-8,Big East,15.0,35.0,8-8,2014
1257.0,31-6,American,16.0,95.0,7-6,2014
1181.0,26-9,ACC,17.0,22.0,9-6,2014
1153.0,27-7,American,18.0,78.0,6-7,2014
1417.0,28-9,Pac-12,19.0,58.0,5-5,2014
1314.0,24-10,ACC,20.0,17.0,9-5,2014
1211.0,29-7,WCC,21.0,98.0,2-3,2014
1338.0,26-10,ACC,22.0,45.0,5-9,2014
1387.0,27-7,A-10,23.0,92.0,4-5,2014
1400.0,24-11,Big 12,24.0,21.0,7-8,2014
1307.0,27-7,Mountain West,25.0,94.0,3-3,2014
1124.0,26-12,Big 12,26.0,28.0,7-8,2014
1326.0,25-10,Big Ten,27.0,53.0,5-5,2014
1272.0,24-10,American,28.0,55.0,6-9,2014
1344.0,23-12,Big East,29.0,23.0,6-10,2014
1332.0,24-10,Pac-12,30.0,62.0,5-5,2014
1328.0,22-11,Big 12,31.0,31.0,5-7,2014
1433.0,26-9,A-10,32.0,83.0,5-5,2014
1203.0,24-9,A-10,33.0,74.0,4-6,2014
1217.0,27-5,Ivy,34.0,147.0,1-2,2014
1269.0,24-9,A-10,35.0,72.0,5-5,2014
1390.0,23-13,Pac-12,36.0,19.0,8-8,2014
1278.0,25-13,Big Ten,37.0,40.0,6-9,2014
1397.0,24-13,SEC,38.0,34.0,5-7,2014
1372.0,32-3,Southland,39.0,331.0,1-1,2014
1374.0,27-10,American,40.0,93.0,5-6,2014
1160.0,23-12,Pac-12,41.0,48.0,5-10,2014
1173.0,26-11,A-10,42.0,76.0,6-4,2014
1386.0,24-10,A-10,43.0,77.0,6-6,2014
1462.0,21-13,Big East,44.0,20.0,7-8,2014
1199.0,22-14,ACC,45.0,14.0,8-10,2014
1379.0,29-7,CUSA,46.0,136.0,2-2,2014
1304.0,19-13,Big Ten,47.0,13.0,3-9,2014
1329.0,21-13,Big 12,48.0,38.0,3-10,2014
1301.0,22-14,ACC,49.0,32.0,6-10,2014
1234.0,20-13,Big Ten,50.0,30.0,3-9,2014
