Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS,Year
1326.0,34-3,Big Ten,1.0,24.0,11-3,2011
1242.0,35-3,Big 12,2.0,47.0,9-2,2011
1163.0,32-9,Big East,3.0,1.0,18-8,2011
1181.0,32-5,ACC,4.0,26.0,13-4,2011
1361.0,34-3,Mountain West,5.0,69.0,8-3,2011
1314.0,29-8,ACC,6.0,12.0,11-6,2011
1246.0,29-9,SEC,7.0,9.0,13-7,2011
1323.0,27-7,Big East,8.0,20.0,12-6,2011
1338.0,28-6,Big East,9.0,30.0,12-5,2011
1140.0,32-5,Mountain West,10.0,65.0,8-2,2011
1345.0,26-8,Big Ten,11.0,16.0,9-5,2011
1196.0,29-8,SEC,12.0,29.0,14-4,2011
1458.0,25-9,Big Ten,13.0,10.0,9-7,2011
1400.0,28-8,Big 12,14.0,34.0,8-5,2011
1393.0,27-8,Big East,15.0,27.0,8-7,2011
1112.0,30-8,Pac-12,16.0,55.0,3-5,2011
1257.0,25-10,Big East,17.0,25.0,10-7,2011
1207.0,21-11,Big East,18.0,6.0,7-9,2011
1452.0,21-12,Big East,19.0,5.0,9-8,2011
1153.0,26-9,Big East,20.0,52.0,6-8,2011
1243.0,23-11,Big 12,21.0,21.0,6-7,2011
1385.0,21-12,Big East,22.0,11.0,9-8,2011
1350.0,29-8,A-10,23.0,87.0,4-4,2011
1396.0,26-8,A-10,24.0,72.0,4-7,2011
1429.0,30-4,WAC,25.0,206.0,1-3,2011
1401.0,24-9,Big 12,26.0,58.0,5-5,2011
1424.0,24-9,Mountain West,27.0,59.0,3-7,2011
1228.0,20-14,Big Ten,28.0,3.0,7-10,2011
1276.0,21-14,Big Ten,29.0,7.0,5-10,2011
1139.0,28-10,Horizon,30.0,67.0,5-4,2011
1435.0,23-11,SEC,31.0,35.0,8-9,2011
1199.0,23-11,ACC,32.0,37.0,4-9,2011
1330.0,27-7,CAA,33.0,100.0,4-4,2011
1462.0,24-8,A-10,34.0,73.0,5-5,2011
1266.0,22-15,Big East,35.0,8.0,7-13,2011
1336.0,19-15,Big Ten,36.0,2.0,6-13,2011
1206.0,27-7,CAA,37.0,109.0,3-2,2011
1277.0,19-15,Big Ten,38.0,4.0,4-11,2011
1417.0,23-11,Pac-12,39.0,49.0,3-6,2011
1449.0,24-11,Pac-12,40.0,57.0,3-5,2011
1281.0,23-11,Big 12,41.0,54.0,4-8,2011
1125.0,30-5,ASUN,42.0,246.0,0-4,2011
1437.0,21-12,Big East,43.0,33.0,7-8,2011
1455.0,29-8,MVC,44.0,124.0,2-2,2011
1155.0,22-12,ACC,45.0,43.0,2-9,2011
1433.0,28-12,CAA,46.0,68.0,7-6,2011
1208.0,21-12,SEC,47.0,39.0,2-12,2011
1439.0,22-12,ACC,48.0,46.0,5-7,2011
1211.0,25-10,WCC,49.0,89.0,4-6,2011
1321.0,20-14,Big Ten,50.0,23.0,2-9,2011
