Team_name,Team_BPI,Team_DEF_I,Team_OFF_I,Year
1196.0,21.2,13.7,7.5,2013
1257.0,21.0,10.3,10.7,2013
1231.0,20.2,6.4,13.8,2013
1181.0,17.6,5.4,12.2,2013
1242.0,16.8,6.9,9.8,2013
1338.0,16.7,12.2,4.5,2013
1211.0,16.4,5.6,10.7,2013
1276.0,16.1,5.0,11.0,2013
1326.0,15.9,8.5,7.5,2013
1458.0,15.6,13.2,2.4,2013
1393.0,15.0,8.0,7.0,2013
1112.0,14.5,5.3,9.2,2013
1433.0,14.4,4.8,9.6,2013
1207.0,14.1,11.7,2.4,2013
1274.0,14.0,9.3,4.7,2013
1277.0,13.9,10.0,3.9,2013
1278.0,13.5,7.2,6.3,2013
1166.0,13.4,4.5,8.9,2013
1281.0,12.4,2.2,10.2,2013
1388.0,12.1,3.5,8.6,2013
1246.0,12.0,4.2,7.8,2013
1455.0,11.8,7.5,4.4,2013
1266.0,11.5,5.3,6.1,2013
1279.0,11.5,1.2,10.3,2013
1153.0,11.4,8.5,2.9,2013
1235.0,11.3,-1.3,12.6,2013
1124.0,11.3,2.3,9.0,2013
1301.0,11.3,-0.4,11.6,2013
1243.0,11.1,7.4,3.8,2013
1314.0,11.1,1.1,10.0,2013
1329.0,11.0,5.6,5.4,2013
1424.0,10.8,5.2,5.6,2013
1361.0,10.8,6.0,4.8,2013
1387.0,10.7,8.8,1.9,2013
1323.0,10.7,4.6,6.1,2013
1125.0,10.5,3.5,7.1,2013
1272.0,10.4,3.5,6.9,2013
1143.0,10.4,4.9,5.5,2013
1438.0,10.1,11.8,-1.7,2013
1307.0,10.0,6.0,3.9,2013
1234.0,9.9,4.5,5.4,2013
1328.0,9.7,3.3,6.4,2013
1172.0,9.7,3.3,6.4,2013
1139.0,9.0,4.6,4.4,2013
1332.0,8.8,2.4,6.4,2013
1163.0,8.8,3.1,5.7,2013
1129.0,8.6,1.9,6.7,2013
1161.0,8.6,1.8,6.7,2013
1247.0,8.4,2.3,6.2,2013
