Team_name,Team_GP,Team_PTS,Team_FGM,Team_FGA,Team_ThreePM,Team_ThreePA,Team_FTM,Team_FTA,Team_OR,Team_DR,Team_REB,Team_AST,Team_STL,Team_BLK,Team_TO,Team_PF,Team_FG_percent,Team_ThreeP_percent,Team_FT_percent,Year
1440.0,29.0,91.3,32.6,73.3,11.6,36.0,14.6,21.1,14.9,23.6,38.5,17.9,12.7,2.7,16.0,18.0,44.5,32.2,69.2,2008
1314.0,39.0,88.6,32.1,65.7,5.5,14.9,18.9,25.0,15.5,27.9,43.5,16.8,8.2,4.5,14.4,16.9,48.8,37.2,75.7,2008
1402.0,29.0,83.6,28.2,67.7,8.1,22.7,19.1,29.3,16.6,25.6,42.2,15.6,9.1,1.8,18.1,27.9,41.6,35.8,65.1,2008
1181.0,34.0,83.2,28.4,61.3,9.1,24.0,17.5,25.1,12.5,24.4,36.9,14.6,8.7,3.9,13.6,19.2,46.3,37.7,69.7,2008
1182.0,30.0,82.3,28.5,62.1,7.2,22.7,18.1,24.6,13.7,24.6,38.2,18.1,9.4,7.3,16.2,19.9,45.9,31.6,73.7,2008
1397.0,36.0,81.8,28.8,62.7,8.7,24.3,15.7,23.8,13.9,23.8,37.7,17.7,9.3,3.3,13.2,20.7,45.8,35.7,65.9,2008
1168.0,33.0,81.8,29.5,62.4,8.6,22.5,14.2,20.2,11.8,24.0,35.8,15.3,9.0,1.5,13.5,19.1,47.3,38.5,70.2,2008
1269.0,36.0,81.5,27.9,63.4,9.2,25.8,16.4,24.4,12.3,26.2,38.5,15.7,7.5,7.3,13.4,20.1,44.1,35.6,67.2,2008
1249.0,30.0,81.5,29.0,61.9,8.4,22.1,15.0,22.4,13.0,22.1,35.1,17.1,8.9,2.6,15.3,19.3,46.9,38.2,66.9,2008
1129.0,34.0,81.4,29.2,57.5,8.0,20.3,14.9,22.6,9.9,26.0,35.8,17.8,6.3,2.4,15.7,17.4,50.8,39.3,66.1,2008
1124.0,32.0,81.3,28.1,61.8,8.6,22.7,16.5,22.2,12.0,25.4,37.4,12.1,7.4,4.3,12.6,20.8,45.4,37.8,74.3,2008
1348.0,33.0,80.5,28.4,60.4,7.4,19.4,16.4,23.7,13.5,24.8,38.3,14.8,7.0,4.0,14.0,18.3,47.0,38.0,69.3,2008
1242.0,40.0,80.5,29.4,57.9,6.8,17.1,15.0,21.3,12.1,26.6,38.7,18.0,8.9,5.9,13.2,17.7,50.8,39.7,70.2,2008
1435.0,34.0,80.0,27.3,58.7,8.9,22.4,16.5,22.5,10.6,24.6,35.2,17.8,6.1,3.5,14.5,18.2,46.5,39.9,73.5,2008
1272.0,40.0,79.9,28.6,61.4,7.6,21.6,15.2,24.8,14.1,26.4,40.5,15.9,8.4,6.1,11.8,17.2,46.6,34.9,61.4,2008
1125.0,34.0,79.8,27.6,61.1,10.5,28.8,14.1,20.3,12.5,24.2,36.7,17.3,8.5,1.9,14.6,18.4,45.1,36.5,69.8,2008
1308.0,35.0,79.8,29.2,61.5,6.1,17.6,15.2,24.1,15.5,26.3,41.7,15.1,6.8,3.1,16.0,18.9,47.6,34.8,63.2,2008
1279.0,35.0,79.5,29.5,64.4,7.8,21.3,12.6,19.3,15.1,25.5,40.6,15.9,6.9,3.4,13.4,18.4,45.9,36.7,65.1,2008
1155.0,34.0,79.2,29.4,64.4,8.0,21.4,12.4,19.9,15.8,22.6,38.4,15.7,9.8,5.4,14.9,19.5,45.6,37.2,62.3,2008
1323.0,33.0,79.0,27.7,61.1,8.3,20.5,15.3,20.8,13.2,28.3,41.5,18.4,6.2,3.8,13.0,15.0,45.4,40.5,73.8,2008
1393.0,35.0,79.0,28.5,59.2,5.4,15.9,16.6,24.9,13.8,26.4,40.2,16.5,8.3,6.0,15.9,16.5,48.1,34.1,66.8,2008
1222.0,34.0,78.9,25.8,62.9,11.0,30.6,16.2,21.1,12.6,24.4,36.9,12.6,8.5,3.8,10.9,18.7,41.0,36.1,77.0,2008
1190.0,32.0,78.6,27.8,61.0,7.2,20.1,15.9,22.0,12.3,24.9,37.2,13.1,8.9,3.2,16.4,21.0,45.5,35.8,72.1,2008
1243.0,33.0,78.0,27.8,62.6,6.4,20.1,16.1,23.5,16.3,24.9,41.3,15.5,7.5,3.4,15.2,20.2,44.3,31.7,68.7,2008
1169.0,30.0,78.0,28.4,61.5,7.5,20.5,13.6,19.7,11.6,25.5,37.1,15.2,9.1,3.2,16.0,22.5,46.3,36.8,69.0,2008
1172.0,36.0,77.9,28.7,61.1,9.1,25.0,11.4,15.9,11.6,24.6,36.2,17.1,8.1,3.2,11.8,18.1,46.9,36.4,71.7,2008
1404.0,33.0,77.6,27.0,61.5,9.4,27.2,14.2,20.5,13.1,24.1,37.2,14.0,7.2,2.4,13.8,17.0,43.9,34.4,69.0,2008
1210.0,32.0,77.6,27.6,58.5,6.7,18.0,15.7,22.4,11.6,22.4,34.0,15.0,8.3,3.5,15.3,22.5,47.1,37.2,70.0,2008
1196.0,36.0,77.5,28.6,58.6,7.6,20.8,12.8,18.3,11.9,24.2,36.0,17.5,6.2,3.1,12.6,16.2,48.8,36.3,70.1,2008
1163.0,33.0,77.5,26.3,57.0,5.1,14.1,19.8,27.4,13.6,28.3,41.9,14.8,5.7,8.6,13.7,15.2,46.2,36.1,72.0,2008
1443.0,36.0,77.4,27.6,58.5,7.5,19.1,14.7,21.0,12.6,22.4,35.1,12.7,8.0,3.8,14.3,21.3,47.2,39.3,70.1,2008
1281.0,32.0,77.1,28.5,62.8,6.7,20.0,13.4,19.4,11.8,23.0,34.8,16.4,8.1,3.0,12.9,20.4,45.4,33.4,69.0,2008
1205.0,32.0,77.0,27.0,61.1,8.4,23.4,14.6,22.1,11.8,26.1,37.9,16.9,7.6,2.8,15.5,22.9,44.2,35.9,66.0,2008
1317.0,31.0,76.9,26.7,57.9,6.6,16.5,17.0,23.6,13.0,25.6,38.6,10.8,5.5,3.1,15.0,19.3,46.0,39.8,71.9,2008
1373.0,34.0,76.9,27.3,60.5,7.0,18.4,15.2,22.1,11.5,22.3,33.8,14.4,9.4,3.5,11.3,15.4,45.1,38.2,68.9,2008
1438.0,33.0,76.8,26.6,61.2,8.3,22.7,15.2,21.6,13.4,25.6,39.1,13.5,5.8,2.4,14.0,19.5,43.5,36.6,70.5,2008
1351.0,34.0,76.8,27.7,57.2,7.1,17.9,14.2,22.1,11.7,25.9,37.5,15.4,7.4,4.5,14.6,17.6,48.5,39.8,64.3,2008
1371.0,32.0,76.6,26.5,62.7,7.2,21.2,16.5,23.0,13.2,22.8,36.1,13.0,9.5,4.9,12.3,19.7,42.3,33.8,71.6,2008
1369.0,31.0,76.6,27.0,59.8,6.6,19.2,15.9,24.0,12.3,25.7,38.0,13.8,8.5,4.0,18.0,21.9,45.2,34.7,66.3,2008
1431.0,33.0,76.6,26.0,60.0,6.6,19.9,18.0,27.4,11.9,25.0,37.0,13.4,7.7,2.8,13.3,23.4,43.3,33.0,65.7,2008
1332.0,32.0,76.6,26.8,55.9,8.7,22.2,14.2,20.5,10.2,23.9,34.2,14.8,4.6,2.5,12.6,18.3,48.0,39.2,69.4,2008
1310.0,29.0,76.5,24.6,60.8,7.7,24.4,19.6,26.9,15.1,23.3,38.3,12.6,7.8,3.6,13.5,19.9,40.5,31.4,72.9,2008
1211.0,33.0,76.5,27.0,55.7,6.7,17.8,15.8,22.1,11.2,26.2,37.4,14.5,7.7,4.6,14.3,17.7,48.5,37.5,71.2,2008
1324.0,31.0,76.4,26.6,60.2,6.1,16.9,17.1,24.5,15.7,21.0,36.7,13.2,7.5,3.9,13.5,18.2,44.2,36.1,69.9,2008
1143.0,33.0,76.4,26.8,57.6,6.7,18.6,16.2,20.8,11.3,24.5,35.8,14.9,4.1,2.5,13.5,17.8,46.5,35.9,77.6,2008
1298.0,30.0,76.3,25.3,62.3,9.6,27.3,16.1,21.5,12.9,24.2,37.1,14.0,9.1,2.5,16.4,21.7,40.6,35.1,74.9,2008
1407.0,31.0,76.3,25.6,62.7,10.8,30.9,14.3,19.8,11.3,22.5,33.8,12.9,8.4,3.4,13.1,16.5,40.8,35.0,72.3,2008
1165.0,28.0,76.3,27.1,55.8,8.1,19.9,14.0,18.4,9.2,24.3,33.5,15.3,6.1,3.1,13.6,18.2,48.5,40.9,76.1,2008
1273.0,30.0,76.2,27.5,63.7,6.0,18.9,15.1,22.5,14.1,27.0,41.0,12.9,6.5,5.5,15.5,17.7,43.2,31.9,66.9,2008
