Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS,Year
1257.0,35-5,Big East,1.0,6.0,16-4,2013
1276.0,31-8,Big Ten,2.0,3.0,11-7,2013
1181.0,30-6,ACC,3.0,12.0,12-4,2013
1326.0,29-8,Big Ten,4.0,11.0,10-7,2013
1211.0,32-3,WCC,5.0,97.0,8-2,2013
1231.0,29-7,Big Ten,6.0,14.0,10-6,2013
1277.0,27-9,Big Ten,7.0,2.0,10-9,2013
1242.0,31-6,Big 12,8.0,33.0,13-5,2013
1393.0,30-10,Big East,9.0,4.0,9-8,2013
1266.0,26-9,Big East,10.0,9.0,10-7,2013
1274.0,29-7,ACC,11.0,31.0,9-3,2013
1207.0,25-7,Big East,12.0,16.0,8-4,2013
1196.0,29-8,SEC,13.0,23.0,7-6,2013
1243.0,27-8,Big 12,14.0,30.0,8-8,2013
1307.0,29-6,Mountain West,15.0,70.0,11-3,2013
1272.0,31-5,CUSA,16.0,111.0,1-4,2013
1455.0,30-9,MVC,17.0,48.0,7-3,2013
1458.0,23-12,Big Ten,18.0,1.0,8-11,2013
1166.0,28-8,MVC,19.0,69.0,5-4,2013
1139.0,27-9,A-10,20.0,43.0,5-6,2013
1112.0,27-8,Pac-12,21.0,62.0,4-3,2013
1323.0,25-10,Big East,22.0,21.0,6-7,2013
1387.0,28-7,A-10,23.0,96.0,7-2,2013
1329.0,24-9,Big 12,24.0,34.0,7-8,2013
1228.0,23-13,Big Ten,25.0,7.0,6-11,2013
1338.0,24-9,Big East,26.0,44.0,4-8,2013
1314.0,25-11,ACC,27.0,22.0,3-10,2013
1332.0,28-9,Pac-12,28.0,76.0,4-4,2013
1388.0,28-7,WCC,29.0,112.0,2-4,2013
1279.0,27-9,SEC,30.0,81.0,4-5,2013
1417.0,25-10,Pac-12,31.0,49.0,5-6,2013
1433.0,27-9,A-10,32.0,78.0,3-7,2013
1278.0,21-13,Big Ten,33.0,5.0,5-8,2013
1161.0,26-9,Mountain West,34.0,93.0,4-7,2013
1163.0,20-10,Big East,35.0,25.0,4-7,2013
1234.0,25-13,Big Ten,36.0,26.0,4-10,2013
1396.0,24-10,A-10,37.0,66.0,5-4,2013
1281.0,23-11,SEC,38.0,39.0,3-6,2013
1235.0,23-12,Big 12,39.0,27.0,7-10,2013
1153.0,22-12,Big East,40.0,19.0,5-10,2013
1247.0,24-10,A-10,41.0,67.0,5-4,2013
1301.0,24-11,ACC,42.0,56.0,4-7,2013
1424.0,25-10,Mountain West,43.0,79.0,8-7,2013
1125.0,26-7,OVC,45.0,134.0,1-3,2013
1137.0,28-6,Patriot,46.0,210.0,1-2,2013
1328.0,20-12,Big 12,47.0,28.0,5-8,2013
1437.0,20-14,Big East,48.0,13.0,5-8,2013
1361.0,23-11,Mountain West,49.0,74.0,5-8,2013
1103.0,26-7,MAC,50.0,158.0,1-3,2013
