Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS,Year
1438.0,35-3,ACC,1.0,11.0,18-3,2019
1181.0,32-6,ACC,2.0,6.0,16-6,2019
1277.0,32-7,Big Ten,3.0,1.0,19-6,2019
1314.0,29-7,ACC,4.0,5.0,12-7,2019
1403.0,31-7,Big 12,5.0,22.0,15-6,2019
1397.0,31-6,SEC,6.0,31.0,9-6,2019
1246.0,30-7,SEC,7.0,18.0,12-5,2019
1276.0,30-7,Big Ten,8.0,17.0,13-7,2019
1199.0,29-8,ACC,9.0,19.0,12-6,2019
1211.0,33-4,WCC,10.0,74.0,6-4,2019
1120.0,30-10,SEC,11.0,20.0,9-7,2019
1345.0,26-10,Big Ten,12.0,3.0,15-7,2019
1242.0,26-10,Big 12,13.0,2.0,15-8,2019
1261.0,28-7,SEC,14.0,39.0,7-5,2019
1222.0,33-4,American,15.0,76.0,7-3,2019
1439.0,26-9,ACC,16.0,37.0,4-9,2019
1458.0,23-11,Big Ten,17.0,4.0,11-9,2019
1243.0,25-9,Big 12,18.0,32.0,11-6,2019
1138.0,32-4,MAC,19.0,100.0,1-2,2019
1459.0,30-5,Southern,20.0,94.0,0-5,2019
1268.0,23-11,Big Ten,21.0,24.0,10-9,2019
1153.0,28-7,American,22.0,65.0,2-6,2019
1234.0,23-12,Big Ten,23.0,25.0,9-10,2019
1437.0,26-10,Big East,24.0,52.0,5-4,2019
1280.0,23-11,SEC,25.0,30.0,6-6,2019
1235.0,23-12,Big 12,26.0,28.0,9-10,2019
1449.0,27-9,Pac-12,27.0,64.0,2-6,2019
1278.0,22-14,Big Ten,28.0,13.0,9-11,2019
1305.0,29-5,Mountain West,29.0,121.0,1-2,2019
1328.0,20-14,Big 12,30.0,7.0,7-12,2019
1257.0,20-14,ACC,31.0,10.0,6-11,2019
1266.0,24-10,Big East,32.0,59.0,6-5,2019
1301.0,24-12,ACC,33.0,58.0,5-10,2019
1326.0,20-15,Big Ten,34.0,14.0,8-12,2019
1416.0,24-9,American,35.0,71.0,3-3,2019
1124.0,20-14,Big 12,36.0,27.0,9-9,2019
1395.0,23-14,Big 12,37.0,43.0,8-12,2019
1422.0,29-7,Southern,38.0,130.0,0-6,2019
1429.0,28-7,Mountain West,39.0,115.0,2-2,2019
1400.0,21-16,Big 12,40.0,21.0,9-12,2019
1293.0,28-5,OVC,41.0,193.0,2-3,2019
1125.0,27-6,OVC,42.0,147.0,3-3,2019
1252.0,29-8,ASUN,43.0,107.0,2-5,2019
1196.0,20-16,SEC,44.0,15.0,3-13,2019
1393.0,20-14,ACC,45.0,33.0,4-11,2019
1371.0,20-14,Big East,46.0,38.0,7-6,2019
1414.0,31-6,Big West,47.0,213.0,2-2,2019
1396.0,23-10,American,48.0,75.0,2-6,2019
1433.0,25-8,A-10,49.0,98.0,1-2,2019
1279.0,20-13,SEC,50.0,50.0,4-8,2019
