Team_name,Team_GP,Team_PTS,Team_FGM,Team_FGA,Team_ThreePM,Team_ThreePA,Team_FTM,Team_FTA,Team_OR,Team_DR,Team_REB,Team_AST,Team_STL,Team_BLK,Team_TO,Team_PF,Team_FG_percent,Team_ThreeP_percent,Team_FT_percent,Year
1440.0,35.0,88.3,31.1,69.7,8.9,27.5,17.1,24.1,14.4,27.1,41.5,14.0,7.3,6.2,10.6,18.9,44.6,32.5,71.3,2014
1322.0,31.0,86.6,30.9,65.7,5.7,17.0,19.2,25.9,12.7,25.5,38.2,16.5,8.7,5.3,13.5,20.5,47.0,33.4,74.1,2014
1140.0,35.0,83.7,28.9,62.5,5.1,14.2,20.9,30.1,13.2,27.7,40.9,15.5,7.2,2.9,11.3,19.7,46.3,35.5,69.2,2014
1233.0,33.0,83.6,28.7,58.9,10.2,25.8,16.0,22.4,8.7,24.4,33.2,17.5,6.6,3.7,10.6,17.7,48.7,39.6,71.4,2014
1235.0,36.0,83.0,29.5,62.2,8.4,23.3,15.7,22.6,10.4,28.1,38.5,18.4,5.9,2.9,10.6,17.3,47.4,35.8,69.3,2014
1369.0,32.0,82.9,30.0,60.1,6.8,19.0,16.1,23.2,11.3,26.0,37.2,16.7,7.1,4.3,13.1,20.0,49.9,35.9,69.2,2014
1230.0,27.0,82.1,28.6,58.6,7.5,19.3,17.4,25.5,11.1,28.5,39.6,15.8,6.6,4.3,13.9,17.8,48.8,38.9,68.4,2014
1328.0,33.0,81.9,27.5,61.6,8.6,22.8,18.2,24.3,12.1,25.6,37.6,14.6,6.8,3.3,11.4,18.9,44.7,37.9,74.9,2014
1332.0,34.0,81.9,27.3,58.1,7.6,19.6,19.6,25.4,10.5,23.6,34.1,14.5,7.7,3.3,11.4,21.3,46.9,38.9,77.2,2014
1234.0,33.0,81.5,27.8,60.1,5.8,16.5,20.0,27.2,13.5,26.8,40.4,16.1,7.1,5.0,11.2,18.2,46.3,35.0,73.5,2014
1149.0,31.0,81.4,27.7,60.5,9.7,25.5,16.2,22.2,11.8,25.6,37.5,13.7,6.5,2.8,10.8,18.2,45.8,38.3,73.0,2014
1417.0,37.0,81.2,29.0,59.4,6.2,16.3,17.0,22.7,9.9,25.4,35.4,17.2,9.2,3.0,10.2,17.6,48.9,38.0,74.9,2014
1257.0,37.0,81.0,28.4,60.3,7.8,21.2,16.4,24.9,13.6,24.1,37.7,15.4,10.0,4.7,10.6,19.5,47.1,36.8,66.1,2014
1256.0,37.0,81.0,27.9,61.7,7.7,23.5,17.4,25.6,12.9,26.2,39.1,15.7,9.2,5.1,11.5,19.1,45.3,32.9,67.9,2014
1418.0,34.0,81.0,28.1,60.4,6.9,18.9,17.8,26.4,13.6,24.3,37.9,13.4,7.2,4.2,13.5,21.1,46.6,36.5,67.4,2014
1329.0,34.0,80.2,26.4,57.1,7.0,19.3,20.4,28.4,9.8,25.6,35.4,13.6,7.6,4.7,10.5,20.0,46.3,36.4,71.9,2014
1116.0,34.0,80.1,27.3,61.9,7.4,20.5,18.1,24.9,11.9,24.1,35.9,15.3,8.4,5.6,11.5,20.7,44.1,36.2,72.6,2014
1218.0,31.0,80.0,27.9,59.0,5.7,17.0,18.4,25.5,12.7,23.2,35.9,14.1,6.1,3.5,11.8,19.4,47.3,33.5,72.2,2014
1303.0,32.0,79.9,27.7,61.5,6.8,20.3,17.8,23.3,10.6,23.9,34.4,15.4,8.3,2.7,12.6,18.6,45.0,33.7,76.5,2014
1125.0,36.0,79.9,27.3,54.8,9.0,22.9,16.3,22.1,8.8,22.4,31.2,15.9,6.9,2.4,12.9,20.4,49.8,39.2,73.9,2014
1174.0,35.0,79.5,26.7,60.2,7.2,20.8,18.8,26.4,11.0,25.1,36.1,10.8,5.9,3.5,9.5,18.9,44.4,34.7,71.1,2014
1405.0,34.0,79.2,27.3,58.7,5.7,16.5,18.9,26.1,12.4,23.4,35.8,15.0,6.8,3.0,10.2,17.4,46.5,34.5,72.5,2014
1242.0,35.0,79.0,27.3,55.3,5.4,15.9,19.0,26.7,11.9,26.3,38.2,14.9,5.8,5.6,13.2,20.9,49.3,34.0,71.1,2014
1181.0,34.0,78.9,26.6,57.6,9.1,23.1,16.6,22.7,12.1,22.4,34.5,14.6,7.0,3.0,9.6,19.2,46.2,39.1,73.1,2014
1346.0,32.0,78.8,26.1,61.5,5.4,15.2,21.2,29.6,16.7,28.7,45.4,12.6,3.6,4.6,12.6,19.5,42.4,35.7,71.6,2014
1273.0,36.0,78.8,27.3,57.3,8.1,21.0,16.2,22.0,11.3,25.9,37.2,16.3,5.9,4.1,11.7,18.4,47.6,38.4,73.6,2014
1166.0,35.0,78.7,27.3,55.1,10.2,24.5,13.9,18.7,8.4,25.7,34.1,17.5,4.0,1.4,9.8,17.7,49.7,41.4,74.3,2014
1184.0,34.0,78.7,25.9,53.2,9.3,23.7,17.6,23.5,7.1,18.9,26.0,14.6,8.8,2.0,10.6,20.8,48.7,39.0,75.2,2014
1172.0,33.0,78.5,27.2,56.9,8.3,22.0,15.9,22.3,9.8,23.1,32.9,13.7,5.4,1.8,11.5,20.2,47.7,37.6,71.6,2014
1145.0,34.0,78.3,26.9,58.5,8.0,20.6,16.6,22.4,11.3,22.1,33.4,12.5,6.9,3.8,11.6,18.0,45.9,38.6,74.0,2014
1347.0,35.0,78.0,27.8,58.1,6.3,17.4,16.1,23.4,11.3,23.3,34.7,13.1,7.1,3.7,10.9,18.9,47.8,36.2,68.8,2014
1437.0,34.0,78.0,25.6,56.1,8.9,25.1,17.9,24.9,11.1,26.0,37.1,15.4,6.9,4.1,11.9,19.7,45.6,35.6,71.6,2014
1293.0,34.0,77.9,26.5,55.8,7.4,19.7,17.4,26.0,11.7,24.6,36.3,13.1,6.0,4.4,12.4,18.4,47.5,37.6,67.2,2014
1421.0,32.0,77.7,26.1,57.3,7.0,18.8,18.5,24.8,12.0,25.5,37.6,12.6,6.5,6.0,13.7,19.1,45.6,37.1,74.5,2014
1209.0,33.0,77.6,26.4,56.5,7.5,19.8,17.2,22.3,8.4,23.3,31.6,13.4,7.7,4.8,8.1,17.3,46.8,37.8,77.3,2014
1452.0,33.0,77.2,26.2,59.8,7.8,20.5,16.8,23.4,11.9,23.7,35.6,13.1,6.2,3.0,9.8,20.7,43.9,38.1,72.1,2014
1236.0,36.0,77.1,27.1,55.0,7.9,20.2,15.0,22.6,10.5,23.3,33.8,14.6,6.8,2.5,12.2,16.7,49.3,39.3,66.3,2014
1308.0,36.0,77.0,26.0,53.3,5.4,14.5,19.6,28.5,11.9,25.5,37.4,13.2,4.7,6.2,12.7,17.1,48.8,37.1,68.6,2014
1264.0,33.0,77.0,25.1,55.7,6.3,17.1,20.5,30.9,12.6,24.8,37.4,13.1,8.3,6.1,14.2,24.2,45.1,36.9,66.3,2014
1464.0,32.0,76.9,26.1,56.9,7.8,22.3,16.9,23.0,9.3,24.0,33.3,15.6,6.7,2.7,11.2,18.9,45.9,35.0,73.4,2014
1272.0,34.0,76.9,28.2,59.1,5.4,16.2,15.2,23.6,12.6,24.7,37.3,17.4,8.6,4.7,13.2,18.0,47.7,33.0,64.4,2014
1190.0,35.0,76.8,25.1,58.4,7.9,21.7,18.7,25.1,10.5,24.5,35.1,12.3,7.7,3.1,11.7,20.0,43.0,36.3,74.8,2014
1169.0,35.0,76.8,25.4,55.9,4.2,11.5,21.9,27.6,11.1,24.5,35.6,13.5,6.9,2.7,12.8,20.5,45.4,36.7,79.1,2014
1211.0,36.0,76.7,27.0,54.5,7.1,17.9,15.6,22.0,9.5,26.3,35.9,14.6,6.5,3.9,11.6,18.3,49.5,39.7,70.9,2014
1314.0,34.0,76.6,28.0,60.5,4.3,12.8,16.2,25.9,14.2,25.5,39.7,15.4,7.3,4.7,11.9,20.3,46.3,33.6,62.6,2014
1287.0,34.0,76.6,25.3,56.6,5.5,18.5,20.4,29.2,14.1,24.3,38.5,13.4,8.0,3.0,15.6,23.4,44.8,29.9,69.9,2014
1426.0,32.0,76.3,25.5,58.3,8.1,23.4,17.3,24.5,11.7,25.4,37.0,12.2,5.1,3.8,13.5,19.8,43.7,34.6,70.6,2014
1122.0,30.0,76.2,26.6,54.4,5.3,15.3,17.8,26.8,9.9,23.4,33.3,14.8,6.9,5.2,15.7,17.2,48.8,34.4,66.5,2014
1129.0,34.0,76.2,26.2,57.4,7.8,20.9,16.1,21.5,11.0,23.4,34.4,11.9,6.0,2.1,10.0,19.2,45.6,37.2,74.9,2014
1186.0,31.0,76.2,26.2,57.8,8.1,21.8,15.6,22.6,10.6,25.9,36.5,13.5,4.7,4.3,12.0,19.5,45.4,37.1,69.3,2014
