Team_name,Team_BPI,Team_DEF_I,Team_OFF_I,Year
1437.0,22.8,7.3,15.5,2018
1438.0,20.2,13.2,7.0,2018
1181.0,19.8,7.5,12.4,2018
1345.0,19.0,7.0,12.0,2018
1153.0,18.5,12.2,6.3,2018
1277.0,17.8,7.7,10.1,2018
1242.0,16.5,5.2,11.2,2018
1314.0,16.1,5.8,10.3,2018
1452.0,15.8,6.4,9.4,2018
1211.0,15.4,5.9,9.4,2018
1403.0,15.1,9.3,5.8,2018
1276.0,15.1,8.5,6.5,2018
1462.0,14.7,4.2,10.5,2018
1397.0,14.4,8.3,6.0,2018
1455.0,14.2,3.8,10.4,2018
1155.0,14.0,7.9,6.0,2018
1326.0,13.8,6.6,7.3,2018
1222.0,13.4,6.6,6.8,2018
1246.0,12.9,5.9,7.0,2018
1336.0,12.6,7.2,5.5,2018
1139.0,12.4,5.4,7.0,2018
1395.0,12.3,2.7,9.6,2018
1120.0,12.2,5.1,7.1,2018
1166.0,12.2,4.1,8.1,2018
1196.0,12.1,5.6,6.5,2018
1112.0,11.9,2.5,9.4,2018
1371.0,11.7,4.0,7.7,2018
1388.0,11.6,1.6,10.0,2018
1199.0,11.5,5.3,6.2,2018
1439.0,11.2,3.2,8.0,2018
1305.0,11.2,1.7,9.4,2018
1401.0,10.8,6.7,4.1,2018
1172.0,10.7,1.7,8.9,2018
1257.0,10.6,5.7,4.9,2018
1274.0,10.6,5.7,4.9,2018
1348.0,10.5,5.9,4.7,2018
1323.0,10.4,3.6,6.9,2018
1124.0,10.4,5.4,5.0,2018
1268.0,10.2,4.5,5.7,2018
1400.0,10.0,6.8,3.2,2018
1116.0,10.0,2.4,7.6,2018
1260.0,9.6,5.0,4.6,2018
1328.0,9.4,2.7,6.8,2018
1393.0,9.4,8.3,1.2,2018
1113.0,9.2,2.0,7.3,2018
1243.0,9.2,5.7,3.5,2018
1301.0,9.2,2.2,7.0,2018
1281.0,9.1,4.8,4.4,2018
1266.0,9.0,-0.2,9.2,2018
