Team_name,Team_BPI,Team_DEF_I,Team_OFF_I,Year
1326.0,21.8,10.4,11.4,2011
1242.0,19.8,6.5,13.3,2011
1181.0,19.0,5.3,13.7,2011
1338.0,18.2,9.4,8.8,2011
1246.0,16.5,7.8,8.7,2011
1345.0,16.2,9.1,7.1,2011
1400.0,16.1,8.1,8.0,2011
1458.0,16.0,12.2,3.7,2011
1361.0,15.6,9.0,6.6,2011
1314.0,15.4,4.2,11.2,2011
1196.0,15.1,6.5,8.6,2011
1393.0,14.6,7.3,7.2,2011
1140.0,14.0,0.8,13.2,2011
1323.0,14.0,4.2,9.8,2011
1257.0,13.9,5.9,8.0,2011
1125.0,13.5,4.4,9.1,2011
1449.0,13.5,-0.2,13.7,2011
1452.0,12.9,8.4,4.5,2011
1112.0,12.7,3.0,9.7,2011
1435.0,12.7,3.5,9.1,2011
1228.0,12.5,6.1,6.4,2011
1437.0,12.4,5.2,7.1,2011
1424.0,12.2,6.4,5.9,2011
1268.0,11.9,3.6,8.2,2011
1163.0,11.8,5.0,6.8,2011
1207.0,11.7,5.9,5.8,2011
1281.0,11.6,0.4,11.1,2011
1429.0,11.4,8.5,2.9,2011
1206.0,11.1,5.6,5.5,2011
1266.0,11.1,3.0,8.1,2011
1153.0,10.9,8.8,2.1,2011
1243.0,10.8,5.1,5.8,2011
1396.0,10.7,6.6,4.1,2011
1155.0,10.7,8.4,2.3,2011
1199.0,10.5,8.3,2.3,2011
1462.0,10.5,5.3,5.2,2011
1455.0,10.4,4.9,5.5,2011
1388.0,10.3,2.3,8.0,2011
1211.0,10.3,2.4,7.9,2011
1350.0,10.2,7.4,2.8,2011
1139.0,10.2,5.2,5.0,2011
1439.0,10.0,6.4,3.5,2011
1401.0,9.8,8.7,1.1,2011
1277.0,9.7,5.0,4.6,2011
1104.0,9.6,9.8,-0.1,2011
1330.0,9.5,10.0,-0.5,2011
1208.0,9.4,5.8,3.5,2011
1182.0,9.2,0.9,8.3,2011
1276.0,9.1,7.7,1.4,2011
1397.0,9.0,4.7,4.4,2011
