Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS,Year
1242.0,33-5,Big 12,1.0,10.0,14-4,2016
1314.0,33-6,ACC,2.0,11.0,14-5,2016
1437.0,34-5,Big East,3.0,27.0,11-4,2016
1438.0,29-8,ACC,4.0,1.0,15-6,2016
1328.0,29-8,Big 12,5.0,2.0,13-6,2016
1274.0,27-8,ACC,6.0,5.0,14-5,2016
1277.0,29-6,Big Ten,7.0,53.0,9-4,2016
1462.0,28-6,Big East,8.0,55.0,8-5,2016
1332.0,31-7,Pac-12,9.0,60.0,9-2,2016
1452.0,26-9,Big 12,10.0,13.0,6-9,2016
1268.0,27-9,Big Ten,11.0,35.0,6-8,2016
1257.0,23-8,ACC,12.0,28.0,6-8,2016
1181.0,25-11,ACC,13.0,8.0,8-11,2016
1231.0,27-8,Big Ten,14.0,59.0,9-5,2016
1246.0,27-9,SEC,15.0,41.0,6-4,2016
1345.0,26-9,Big Ten,16.0,37.0,9-7,2016
1428.0,27-9,Pac-12,17.0,47.0,5-7,2016
1374.0,25-5,American,18.0,86.0,5-2,2016
1323.0,24-12,ACC,19.0,6.0,9-9,2016
1401.0,28-9,SEC,20.0,56.0,8-4,2016
1371.0,25-9,Big East,21.0,39.0,6-8,2016
1235.0,23-12,Big 12,22.0,7.0,5-10,2016
1344.0,24-11,Big East,23.0,30.0,7-8,2016
1234.0,22-11,Big Ten,24.0,19.0,8-8,2016
1386.0,28-8,A-10,25.0,80.0,7-4,2016
1124.0,22-12,Big 12,26.0,14.0,6-11,2016
1114.0,30-5,Sun Belt,27.0,152.0,1-1,2016
1211.0,28-8,WCC,28.0,89.0,6-7,2016
1163.0,25-11,American,29.0,51.0,4-7,2016
1393.0,23-14,ACC,30.0,12.0,8-12,2016
1400.0,20-13,Big 12,31.0,4.0,7-9,2016
1458.0,22-13,Big Ten,32.0,18.0,9-7,2016
1276.0,23-13,Big Ten,33.0,25.0,4-12,2016
1139.0,22-11,Big East,34.0,38.0,5-7,2016
1112.0,25-9,Pac-12,35.0,78.0,2-5,2016
1338.0,21-12,ACC,36.0,26.0,6-9,2016
1173.0,25-8,A-10,37.0,90.0,4-2,2016
1210.0,21-15,ACC,38.0,9.0,7-11,2016
1388.0,29-6,WCC,39.0,164.0,3-4,2016
1218.0,28-6,Big West,40.0,163.0,1-2,2016
1143.0,23-11,Pac-12,41.0,72.0,4-5,2016
1434.0,30-7,Horizon,42.0,151.0,3-2,2016
1203.0,28-10,A-10,43.0,96.0,5-3,2016
1463.0,23-7,Ivy,44.0,105.0,2-4,2016
1376.0,25-9,SEC,45.0,94.0,4-1,2016
1196.0,21-15,SEC,46.0,17.0,1-11,2016
1403.0,19-13,Big 12,47.0,21.0,4-10,2016
1153.0,22-11,American,48.0,68.0,5-5,2016
1396.0,21-12,American,49.0,54.0,5-7,2016
1439.0,20-15,ACC,50.0,15.0,7-12,2016
